date,leg,expiry,strike,entry_time,exit_time,entry_price,exit_price,lot_size,gross_pnl,charges,pnl
20251110,FUTURES,2025-11-25,,2025-11-10 09:30:00.895000+05:30,2025-11-10 15:26:59.927000+05:30,58242.2,58256.4,35,497.0,387.36,109.64
20251110,PUT_ITM,2025-11-25,57900.0,2025-11-10 09:30:00.905000+05:30,2025-11-10 15:26:58.795000+05:30,425.65,404.0,35,-757.75,81.08,-838.83
20251111,FUTURES,2025-11-25,,2025-11-11 09:30:00.212000+05:30,2025-11-11 15:26:59.274000+05:30,58108.0,58392.0,35,9940.0,387.74,9552.26
20251111,PUT_ITM,2025-11-25,57900.0,2025-11-11 09:30:00.222000+05:30,2025-11-11 15:26:59.481000+05:30,491.55,346.85,35,-5064.5,78.28,-5142.78
20251112,FUTURES,2025-11-25,,2025-11-12 09:30:00.052000+05:30,2025-11-12 15:26:59.862000+05:30,58562.0,58504.8,35,-2002.0,388.92,-2390.92
20251112,PUT_ITM,2025-11-25,58100.0,2025-11-12 09:30:00.248000+05:30,2025-11-12 15:26:59.191000+05:30,339.45,335.0,35,-155.75,75.08,-230.83
20251113,FUTURES,2025-11-25,,2025-11-13 09:30:00.402000+05:30,2025-11-13 15:26:59.644000+05:30,58500.0,58535.0,35,1225.0,388.96,836.04
20251113,PUT_ITM,2025-11-25,58200.0,2025-11-13 09:30:00.661000+05:30,2025-11-13 15:26:59.463000+05:30,378.15,361.35,35,-588.0,77.47,-665.47
20251114,FUTURES,2025-11-25,,2025-11-14 09:30:00.414000+05:30,2025-11-14 15:26:59.124000+05:30,58601.4,58677.0,35,2646.0,389.72,2256.28
20251114,PUT_ITM,2025-11-25,58400.0,2025-11-14 09:30:00.336000+05:30,2025-11-14 15:26:59.562000+05:30,413.8,340.95,35,-2549.75,76.66,-2626.41
20251117,FUTURES,2025-11-25,,2025-11-17 09:30:00.899000+05:30,2025-11-17 15:26:59.942000+05:30,58960.0,59050.0,35,3150.0,391.88,2758.12
20251117,PUT_ITM,2025-11-25,58500.0,2025-11-17 09:30:00.910000+05:30,2025-11-17 15:26:59.953000+05:30,263.5,214.6,35,-1711.5,65.79,-1777.29
20251118,FUTURES,2025-11-25,,2025-11-18 09:30:00.367000+05:30,2025-11-18 15:26:59.126000+05:30,59026.2,58949.6,35,-2681.0,391.55,-3072.55
20251118,PUT_ITM,2025-11-25,59000.0,2025-11-18 09:30:00.348000+05:30,2025-11-18 15:26:59.400000+05:30,418.5,414.6,35,-136.5,81.68,-218.18
20251119,FUTURES,2025-11-25,,2025-11-19 09:30:00.557000+05:30,2025-11-19 15:26:59.960000+05:30,58875.0,59240.0,35,12775.0,392.57,12382.43
20251119,PUT_ITM,2025-11-25,58800.0,2025-11-19 09:30:00.305000+05:30,2025-11-19 15:26:59.918000+05:30,331.05,183.05,35,-5180.0,64.73,-5244.73
20251120,FUTURES,2025-11-25,,2025-11-20 09:30:00.010000+05:30,2025-11-20 15:26:59.191000+05:30,59290.0,59417.6,35,4466.0,393.97,4072.03
20251120,PUT_ITM,2025-11-25,59200.0,2025-11-20 09:30:00.648000+05:30,2025-11-20 15:26:59.860000+05:30,277.6,201.05,35,-2679.25,65.1,-2744.35
20251121,FUTURES,2025-11-25,,2025-11-21 09:30:00.399000+05:30,2025-11-21 15:26:59.775000+05:30,59205.0,58836.0,35,-12915.0,391.33,-13306.33
20251121,PUT_ITM,2025-11-25,59300.0,2025-11-21 09:30:00.408000+05:30,2025-11-21 15:26:59.929000+05:30,319.0,544.75,35,7901.25,88.86,7812.39
20251124,FUTURES,2025-11-25,,2025-11-24 09:30:00.602000+05:30,2025-11-24 15:26:59.570000+05:30,59032.0,58750.0,35,-9870.0,390.69,-10260.69
20251124,PUT_ITM,2025-11-25,59100.0,2025-11-24 09:30:00.218000+05:30,2025-11-24 15:26:58.858000+05:30,226.1,417.3,35,6692.0,78.83,6613.17
20251125,FUTURES,2025-11-25,,2025-11-25 09:30:00.218000+05:30,2025-11-25 15:26:59.661000+05:30,58813.6,58823.0,35,329.0,390.68,-61.68
20251125,PUT_ITM,2025-11-25,58700.0,2025-11-25 09:30:00.181000+05:30,2025-11-25 15:26:58.979000+05:30,97.6,0.05,35,-3414.25,48.74,-3462.99
20251126,FUTURES,2025-12-30,,2025-11-26 09:30:00.040000+05:30,2025-11-26 15:26:59.818000+05:30,59433.0,59836.0,35,14105.0,395.99,13709.01
20251126,PUT_ITM,2025-12-30,58800.0,2025-11-26 09:30:00.031000+05:30,2025-11-26 15:26:59.208000+05:30,512.05,403.25,35,-3808.0,82.4,-3890.4
20251127,FUTURES,2025-12-30,,2025-11-27 09:30:00.561000+05:30,2025-11-27 15:26:59.864000+05:30,60014.4,60050.0,35,1246.0,397.8,848.2
20251127,PUT_ITM,2025-12-30,59600.0,2025-11-27 09:30:00.220000+05:30,2025-11-27 15:26:59.710000+05:30,602.5,572.35,35,-1055.25,95.2,-1150.45
20251128,FUTURES,2025-12-30,,2025-11-28 09:30:00.273000+05:30,2025-11-28 15:26:59.309000+05:30,60022.6,60077.2,35,1911.0,397.93,1513.07
20251128,PUT_ITM,2025-12-30,59800.0,2025-11-28 09:30:00.536000+05:30,2025-11-28 15:26:59.895000+05:30,665.6,600.8,35,-2268.0,98.1,-2366.1
20251201,FUTURES,2025-12-30,,2025-12-01 09:30:00.060000+05:30,2025-12-01 15:26:59.275000+05:30,60199.0,59900.0,35,-10465.0,397.43,-10862.43
20251201,PUT_ITM,2025-12-30,60100.0,2025-12-01 09:30:00.761000+05:30,2025-12-01 15:26:59.868000+05:30,676.95,819.45,35,4987.5,112.99,4874.51
20251202,FUTURES,2025-12-30,,2025-12-02 09:30:00.103000+05:30,2025-12-02 15:26:59.571000+05:30,59784.2,59685.0,35,-3472.0,395.88,-3867.88
20251202,PUT_ITM,2025-12-30,59400.0,2025-12-02 09:30:00.221000+05:30,2025-12-02 15:26:59.521000+05:30,556.4,568.65,35,428.75,94.22,334.53
20251203,FUTURES,2025-12-30,,2025-12-03 09:30:00.954000+05:30,2025-12-03 15:26:58.376000+05:30,59474.0,59760.2,35,10017.0,395.73,9621.27
20251203,PUT_ITM,2025-12-30,59200.0,2025-12-03 09:30:00.393000+05:30,2025-12-03 15:26:59.728000+05:30,582.6,437.9,35,-5064.5,85.84,-5150.34
20251204,FUTURES,2025-12-30,,2025-12-04 09:30:00.956000+05:30,2025-12-04 15:26:59.998000+05:30,59706.0,59648.0,35,-2030.0,395.6,-2425.6
20251204,PUT_ITM,2025-12-30,59300.0,2025-12-04 09:30:00.006000+05:30,2025-12-04 15:26:59.381000+05:30,489.2,491.0,35,63.0,87.94,-24.94
20251205,FUTURES,2025-12-30,,2025-12-05 09:30:01.191000+05:30,2025-12-05 15:26:59.229000+05:30,59658.2,60075.4,35,14602.0,397.37,14204.63
20251205,PUT_ITM,2025-12-30,59100.0,2025-12-05 09:30:00.598000+05:30,2025-12-05 15:26:59.386000+05:30,420.65,264.5,35,-5465.25,71.63,-5536.88
20251208,FUTURES,2025-12-30,,2025-12-08 09:30:00.609000+05:30,2025-12-08 15:26:58.791000+05:30,59932.0,59495.0,35,-15295.0,395.28,-15690.28
20251208,PUT_ITM,2025-12-30,60000.0,2025-12-08 09:30:00.236000+05:30,2025-12-08 15:26:59.583000+05:30,638.5,882.3,35,8533.0,116.6,8416.4
20251210,FUTURES,2025-12-30,,2025-12-10 09:30:00.175000+05:30,2025-12-10 15:26:59.735000+05:30,59549.8,59200.0,35,-12243.0,393.42,-12636.42
