entry_date,exit_date,days_held,expiry,lot_size,exit_reason,leg,strike,entry_time,exit_time,entry_price,exit_price,gross_pnl,charges,net_pnl
20251110,20251111,2,2025-11-25,35,Profitable,SYNTH_CE,57900,2025-11-10 09:30:01.075000+05:30,2025-11-11 15:26:59.681000+05:30,781.15,839.5,2042.25,115.98,1926.27
20251110,20251111,2,2025-11-25,35,Profitable,SYNTH_PE,57900,2025-11-10 09:30:00.905000+05:30,2025-11-11 15:26:59.481000+05:30,425.65,346.85,2758.0,81.3,2676.7
20251110,20251111,2,2025-11-25,35,Profitable,PUT_ITM,57900,2025-11-10 09:30:00.905000+05:30,2025-11-11 15:26:59.481000+05:30,425.65,346.85,-2758.0,77.24,-2835.24
20251126,20251126,1,2025-12-30,35,Profitable,SYNTH_CE,58800,2025-11-26 09:30:00.352000+05:30,2025-11-26 15:26:59.573000+05:30,1138.95,1417.5,9749.25,160.49,9588.76
20251126,20251126,1,2025-12-30,35,Profitable,SYNTH_PE,58800,2025-11-26 09:30:00.031000+05:30,2025-11-26 15:26:59.208000+05:30,512.05,403.25,3808.0,88.0,3720.0
20251126,20251126,1,2025-12-30,35,Profitable,PUT_ITM,58800,2025-11-26 09:30:00.031000+05:30,2025-11-26 15:26:59.208000+05:30,512.05,403.25,-3808.0,82.4,-3890.4
20260101,20260101,1,2026-01-27,30,Profitable,SYNTH_CE,59900,2026-01-01 09:30:00.583000+05:30,2026-01-01 15:26:59.881000+05:30,602.5,628.8,789.0,91.59,697.41
20260101,20260101,1,2026-01-27,30,Profitable,SYNTH_PE,59900,2026-01-01 09:30:00.580000+05:30,2026-01-01 15:26:59.879000+05:30,613.1,582.3,924.0,90.41,833.59
20260101,20260101,1,2026-01-27,30,Profitable,PUT_ITM,60000,2026-01-01 09:30:00.363000+05:30,2026-01-01 15:26:59.008000+05:30,662.75,632.05,-921.0,92.6,-1013.6
20260102,20260102,1,2026-01-27,30,Profitable,SYNTH_CE,60200,2026-01-02 09:30:00.562000+05:30,2026-01-02 15:26:59.844000+05:30,585.3,695.75,3313.5,95.22,3218.28
20260102,20260102,1,2026-01-27,30,Profitable,SYNTH_PE,60200,2026-01-02 09:30:00.772000+05:30,2026-01-02 15:26:59.468000+05:30,618.25,531.6,2599.5,90.03,2509.47
20260102,20260102,1,2026-01-27,30,Profitable,PUT_ITM,60300,2026-01-02 09:30:01.014000+05:30,2026-01-02 15:26:59.872000+05:30,666.25,576.95,-2679.0,89.47,-2768.47
20260128,20260129,2,2026-02-24,30,Profitable,SYNTH_CE,59800,2026-01-28 09:30:00.841000+05:30,2026-01-29 15:26:59.954000+05:30,976.95,1110.0,3991.5,124.39,3867.11
20260128,20260129,2,2026-02-24,30,Profitable,SYNTH_PE,59800,2026-01-28 09:30:01.040000+05:30,2026-01-29 15:26:59.957000+05:30,938.9,686.8,7563.0,110.61,7452.39
20260128,20260129,2,2026-02-24,30,Profitable,PUT_ITM,59900,2026-01-28 09:30:00.679000+05:30,2026-01-29 15:26:59.846000+05:30,973.7,725.0,-7461.0,102.16,-7563.16
20260130,20260203,5,2026-02-24,30,Profitable,SYNTH_CE,59900,2026-01-30 09:30:00.367000+05:30,2026-02-03 15:26:59.453000+05:30,865.75,912.05,1389.0,111.48,1277.52
20260130,20260203,5,2026-02-24,30,Profitable,SYNTH_PE,59900,2026-01-30 09:30:00.167000+05:30,2026-02-03 15:26:59.271000+05:30,891.0,616.5,8235.0,106.89,8128.11
20260130,20260203,5,2026-02-24,30,Profitable,PUT_ITM,60000,2026-01-30 09:30:00.225000+05:30,2026-02-03 15:26:59.473000+05:30,936.7,657.95,-8362.5,97.8,-8460.3
20260204,20260209,6,2026-02-24,30,Profitable,SYNTH_CE,60300,2026-02-04 09:30:00.034000+05:30,2026-02-09 15:26:59.789000+05:30,729.05,778.6,1486.5,101.94,1384.56
20260204,20260209,6,2026-02-24,30,Profitable,SYNTH_PE,60300,2026-02-04 09:30:00.035000+05:30,2026-02-09 15:26:59.396000+05:30,704.2,361.45,10282.5,92.68,10189.82
20260204,20260209,6,2026-02-24,30,Profitable,PUT_ITM,60400,2026-02-04 09:30:00.646000+05:30,2026-02-09 15:26:59.226000+05:30,752.1,395.9,-10686.0,80.19,-10766.19
20260210,20260217,8,2026-02-24,30,Profitable,SYNTH_CE,60800,2026-02-10 09:30:00.511000+05:30,2026-02-17 15:26:59.323000+05:30,485.85,572.75,2607.0,86.78,2520.22
20260210,20260217,8,2026-02-24,30,Profitable,SYNTH_PE,60800,2026-02-10 09:30:00.694000+05:30,2026-02-17 15:26:59.903000+05:30,519.3,274.0,7359.0,80.84,7278.16
20260210,20260217,8,2026-02-24,30,Profitable,PUT_ITM,60900,2026-02-10 09:30:00.347000+05:30,2026-02-17 15:26:59.691000+05:30,570.9,310.0,-7827.0,72.79,-7899.79
20260218,20260218,1,2026-02-24,30,Profitable,SYNTH_CE,61100,2026-02-18 09:30:00.788000+05:30,2026-02-18 15:26:59.117000+05:30,366.65,586.4,6592.5,85.96,6506.54
20260218,20260218,1,2026-02-24,30,Profitable,SYNTH_PE,61100,2026-02-18 09:30:00.789000+05:30,2026-02-18 15:26:59.116000+05:30,339.9,208.55,3940.5,69.61,3870.89
20260218,20260218,1,2026-02-24,30,Profitable,PUT_ITM,61200,2026-02-18 09:30:00.798000+05:30,2026-02-18 15:26:59.527000+05:30,390.3,236.95,-4600.5,66.14,-4666.64
