date,entry_bar,exit_bar,hold_bars,direction,atm_strike,box_strike,dte,fair_box,entry_ce_k1,entry_ce_k2,entry_pe_k1,entry_pe_k2,exit_ce_k1,exit_ce_k2,exit_pe_k1,exit_pe_k2,entry_box,exit_box,entry_misprice,exit_misprice,lot_size,gross_pnl,charges,net_pnl,exit_reason,month
20260122,2026-01-22 13:05:00+05:30,2026-01-22 13:11:00+05:30,6,-1 (buy box),59600,59700,5,99.91,164.35,139.1,670.05,719.5,163.55,138.3,659.0,734.0,74.7,100.25,-25.21,0.34,30,766.5,309.91,456.59,Revert,2026-01
20260201,2026-02-01 12:23:00+05:30,2026-02-01 12:40:00+05:30,17,+1 (sell box),59900,60000,23,99.59,534.1,500.0,1261.2,1361.15,536.05,502.25,1336.6,1400.0,134.05,97.2,34.46,-2.39,30,1105.5,454.04,651.46,Revert,2026-02
20260201,2026-02-01 12:44:00+05:30,2026-02-01 12:46:00+05:30,2,+1 (sell box),59900,60000,23,99.59,551.45,513.9,1272.6,1362.8,575.15,528.55,1269.95,1321.05,127.75,97.7,28.16,-1.89,30,901.5,452.61,448.89,Revert,2026-02
20260201,2026-02-01 12:48:00+05:30,2026-02-01 12:52:00+05:30,4,+1 (sell box),59900,60000,23,99.59,518.35,488.65,1273.65,1375.05,548.6,513.05,1275.65,1338.0,131.1,97.9,31.51,-1.69,30,996.0,450.39,545.61,Revert,2026-02
20260201,2026-02-01 12:55:00+05:30,2026-02-01 12:58:00+05:30,3,-1 (buy box),59900,60000,23,99.59,534.3,498.9,1302.0,1344.7,549.6,511.6,1254.8,1315.1,78.1,98.3,-21.49,-1.29,30,606.0,449.39,156.61,Revert,2026-02
20260201,2026-02-01 13:01:00+05:30,2026-02-01 13:03:00+05:30,2,-1 (buy box),59900,60000,23,99.59,582.35,539.05,1219.35,1246.6,565.5,524.7,1215.9,1275.65,70.55,100.55,-29.04,0.96,30,900.0,444.56,455.44,Revert,2026-02
20260201,2026-02-01 13:24:00+05:30,2026-02-01 13:28:00+05:30,4,+1 (sell box),59900,60000,23,99.59,578.75,536.2,1195.0,1276.95,554.45,514.5,1247.6,1309.05,124.5,101.4,24.91,1.81,30,693.0,445.95,247.05,Revert,2026-02
20260201,2026-02-01 13:32:00+05:30,2026-02-01 13:39:00+05:30,7,+1 (sell box),59900,60000,23,99.59,528.0,490.75,1265.0,1373.8,530.1,490.0,1311.0,1370.4,146.05,99.5,46.46,-0.09,30,1396.5,451.68,944.82,Revert,2026-02
20260201,2026-02-01 13:43:00+05:30,2026-02-01 13:56:00+05:30,13,-1 (buy box),59900,60000,23,99.59,534.45,495.15,1331.3,1349.55,544.8,508.3,1270.4,1334.5,57.55,100.6,-42.04,1.01,30,1291.5,451.94,839.56,Revert,2026-02
20260201,2026-02-01 13:58:00+05:30,2026-02-01 14:05:00+05:30,7,+1 (sell box),59900,60000,23,99.59,537.45,497.5,1267.05,1360.1,519.35,484.75,1308.05,1371.2,133.0,97.75,33.41,-1.84,30,1057.5,450.95,606.55,Revert,2026-02
20260201,2026-02-01 14:33:00+05:30,2026-02-01 14:35:00+05:30,2,-1 (buy box),59900,60000,23,99.59,539.95,504.2,1291.3,1332.95,532.0,492.45,1291.95,1349.25,77.4,96.85,-22.19,-2.74,30,583.5,450.19,133.31,Revert,2026-02
20260201,2026-02-01 14:40:00+05:30,2026-02-01 14:50:00+05:30,10,+1 (sell box),59900,60000,23,99.59,530.05,491.0,1286.3,1373.05,490.3,457.05,1387.4,1451.6,125.8,97.45,26.21,-2.14,30,850.5,455.11,395.39,Revert,2026-02
20260201,2026-02-01 14:51:00+05:30,2026-02-01 14:56:00+05:30,5,+1 (sell box),59900,60000,23,99.59,487.25,452.55,1387.4,1492.0,497.55,462.9,1422.75,1486.75,139.3,98.65,39.71,-0.94,30,1219.5,463.29,756.21,Revert,2026-02
