date,pair,width,o1,o2,atm_strike,k1_strike,k2_strike,entry_bar,exit_bar,hold_bars,lot_size,entry_ce_k1,entry_ce_k2,entry_pe_k1,entry_pe_k2,exit_ce_k1,exit_ce_k2,exit_pe_k1,exit_pe_k2,entry_box,exit_box,entry_msp,exit_msp,gross_pnl,charges,net_pnl,exit_reason
20260201,"(-3,-2)  w=100",100,-3,-2,59900,59600,59700,2026-02-01 12:31:00+05:30,2026-02-01 12:44:00+05:30,13,30,426.9,401.25,1725.2,1848.35,673.95,626.35,1124.0,1177.3,148.8,100.9,48.8,0.9,1437.0,474.63,962.37,Revert
20260201,"(-3,-2)  w=100",100,-3,-2,59900,59600,59700,2026-02-01 13:38:00+05:30,2026-02-01 13:40:00+05:30,2,30,636.35,613.3,1134.15,1184.05,657.35,615.15,1121.8,1177.9,72.95,98.3,-27.05,-1.7,760.5,443.42,317.08,Revert
20260201,"(-3,-2)  w=100",100,-3,-2,59900,59600,59700,2026-02-01 13:43:00+05:30,2026-02-01 13:44:00+05:30,1,30,655.6,613.0,1130.0,1219.75,665.65,617.75,1100.1,1152.55,132.35,100.35,32.35,0.35,960.0,444.08,515.92,Revert
20260201,"(-3,-2)  w=100",100,-3,-2,59900,59600,59700,2026-02-01 14:15:00+05:30,2026-02-01 14:18:00+05:30,3,30,625.45,586.0,1181.75,1262.55,639.7,599.0,1166.15,1225.4,120.25,99.95,20.25,-0.05,609.0,448.5,160.5,Revert
20260201,"(-3,-2)  w=100",100,-3,-2,59900,59600,59700,2026-02-01 15:07:00+05:30,2026-02-01 15:09:00+05:30,2,30,556.7,521.65,1283.55,1321.3,535.0,498.65,1314.15,1378.95,72.8,101.15,-27.2,1.15,850.5,453.09,397.41,Revert
20260201,"(-3,-2)  w=100",100,-3,-2,59900,59600,59700,2026-02-01 15:12:00+05:30,2026-02-01 15:13:00+05:30,1,30,528.95,491.95,1330.05,1413.05,520.8,486.05,1332.35,1398.95,120.0,101.35,20.0,1.35,559.5,456.16,103.34,Revert
20260201,"(-3,-2)  w=100",100,-3,-2,59900,59600,59700,2026-02-01 15:15:00+05:30,2026-02-01 15:23:00+05:30,8,30,489.45,460.85,1404.35,1500.15,483.0,447.75,1441.1,1503.8,124.4,97.95,24.4,-2.05,793.5,464.45,329.05,Revert
20260302,"(-3,-2)  w=100",100,-3,-2,60600,60300,60400,2026-03-02 14:38:00+05:30,2026-03-02 14:39:00+05:30,1,30,889.65,826.6,992.65,1050.8,885.75,832.8,994.6,1040.85,121.2,99.2,21.2,-0.8,660.0,456.64,203.36,Revert
20260304,"(-3,-2)  w=100",100,-3,-2,59200,58900,59000,2026-03-04 10:59:00+05:30,2026-03-04 11:00:00+05:30,1,30,1126.0,1078.95,1141.95,1174.15,1143.2,1087.65,1107.2,1150.0,79.25,98.35,-20.75,-1.65,573.0,509.79,63.21,Revert
20260305,"(-3,-2)  w=100",100,-3,-2,59300,59000,59100,2026-03-05 15:08:00+05:30,2026-03-05 15:09:00+05:30,1,30,1209.8,1163.35,765.0,795.8,1187.35,1124.3,770.95,807.1,77.25,99.2,-22.75,-0.8,658.5,467.67,190.83,Revert
20260306,"(-3,-2)  w=100",100,-3,-2,58900,58600,58700,2026-03-06 14:48:00+05:30,2026-03-06 14:50:00+05:30,2,30,954.3,906.9,1314.95,1341.55,988.65,942.05,1247.65,1299.65,74.0,98.6,-26.0,-1.4,738.0,509.43,228.57,Revert
20260309,"(-3,-2)  w=100",100,-3,-2,55900,55600,55700,2026-03-09 11:46:00+05:30,2026-03-09 11:47:00+05:30,1,30,1734.45,1695.0,1222.9,1263.3,1775.75,1712.4,1206.7,1244.4,79.85,101.05,-20.15,1.05,636.0,611.09,24.91,Revert
