date,leg,entry_bar,exit_bar,hold_bars,expiry_date,k0_strike,atm_strike,k2_strike,entry_k0,entry_k1,entry_k2,exit_k0,exit_k1,exit_k2,entry_bf,exit_bf,lot_size,gross_pnl,charges,net_pnl,exit_reason,month
20251208,PE,2025-12-08 14:49:00+05:30,2025-12-08 14:52:00+05:30,3,2025-12-30,59800,59900,60000,738.45,809.7,853.3,736.75,790.65,849.0,-27.65,4.45,35,1123.5,407.2,716.3,Revert,2025-12
20260121,PE,2026-01-21 15:04:00+05:30,2026-01-21 15:05:00+05:30,1,2026-01-27,59300,59400,59500,567.35,648.0,706.15,574.0,634.2,711.75,-22.5,17.35,30,1195.5,324.79,870.71,Revert,2026-01
20260122,PE,2026-01-22 11:16:00+05:30,2026-01-22 11:17:00+05:30,1,2026-01-27,59500,59600,59700,621.1,708.65,775.0,640.0,705.85,782.7,-21.2,11.0,30,966.0,343.27,622.73,Revert,2026-01
20260122,PE,2026-01-22 13:18:00+05:30,2026-01-22 13:19:00+05:30,1,2026-01-27,59500,59600,59700,586.65,669.55,732.35,567.0,636.95,709.95,-20.1,3.05,30,694.5,327.46,367.04,Revert,2026-01
20260122,PE,2026-01-22 13:31:00+05:30,2026-01-22 13:32:00+05:30,1,2026-01-27,59500,59600,59700,566.35,652.0,713.2,563.9,632.0,710.8,-24.45,10.7,30,1054.5,324.64,729.86,Revert,2026-01
20260122,PE,2026-01-22 14:05:00+05:30,2026-01-22 14:06:00+05:30,1,2026-01-27,59500,59600,59700,497.55,576.45,633.6,510.3,575.4,645.7,-21.75,5.2,30,808.5,305.55,502.95,Revert,2026-01
20260127,CE,2026-01-27 12:34:00+05:30,2026-01-27 12:36:00+05:30,2,2026-01-27,58100,58200,58300,561.85,500.2,413.5,574.05,477.2,393.65,-25.05,13.3,30,1150.5,281.14,869.36,Revert,2026-01
20260127,CE,2026-01-27 13:16:00+05:30,2026-01-27 13:17:00+05:30,1,2026-01-27,58100,58200,58300,621.4,545.7,450.0,612.15,500.9,412.0,-20.0,22.35,30,1270.5,291.58,978.92,Revert,2026-01
20260128,PE,2026-01-28 14:16:00+05:30,2026-01-28 14:17:00+05:30,1,2026-02-24,59800,59900,60000,1006.8,1068.85,1110.0,1017.2,1065.2,1123.25,-20.9,10.05,30,928.5,445.63,482.87,Revert,2026-01
20260128,PE,2026-01-28 14:37:00+05:30,2026-01-28 14:39:00+05:30,2,2026-02-24,59800,59900,60000,962.0,1026.7,1068.4,958.25,1006.0,1056.0,-23.0,2.25,30,757.5,430.73,326.77,Revert,2026-01
20260128,PE,2026-01-28 14:49:00+05:30,2026-01-28 14:50:00+05:30,1,2026-02-24,59800,59900,60000,915.0,979.85,1013.0,917.1,953.65,1011.05,-31.7,20.85,30,1576.5,417.57,1158.93,Revert,2026-01
20260201,PE,2026-02-01 12:25:00+05:30,2026-02-01 12:26:00+05:30,1,2026-02-24,59800,59900,60000,1168.75,1245.4,1292.75,1215.95,1264.7,1335.55,-29.3,22.1,30,1542.0,499.74,1042.26,Revert,2026-02
20260201,PE,2026-02-01 12:28:00+05:30,2026-02-01 12:29:00+05:30,1,2026-02-24,59800,59900,60000,1212.85,1294.35,1342.05,1290.7,1356.6,1441.0,-33.8,18.5,30,1569.0,519.52,1049.48,Revert,2026-02
20260201,PE,2026-02-01 12:31:00+05:30,2026-02-01 12:32:00+05:30,1,2026-02-24,59800,59900,60000,1888.75,2000.4,2016.85,1516.65,1574.35,1643.4,-95.2,11.35,30,3196.5,649.76,2546.74,Revert,2026-02
20260201,PE,2026-02-01 12:34:00+05:30,2026-02-01 12:35:00+05:30,1,2026-02-24,59800,59900,60000,1569.3,1649.65,1702.95,1425.1,1470.0,1550.1,-27.05,35.2,30,1867.5,587.28,1280.22,Revert,2026-02
20260201,PE,2026-02-01 12:36:00+05:30,2026-02-01 12:37:00+05:30,1,2026-02-24,59800,59900,60000,1322.5,1403.65,1457.45,1316.45,1377.6,1460.55,-27.35,21.8,30,1474.5,538.34,936.16,Revert,2026-02
20260201,PE,2026-02-01 12:41:00+05:30,2026-02-01 12:42:00+05:30,1,2026-02-24,59800,59900,60000,1259.7,1333.75,1376.05,1256.4,1292.25,1351.15,-31.75,23.05,30,1644.0,516.26,1127.74,Revert,2026-02
20260201,PE,2026-02-01 12:49:00+05:30,2026-02-01 12:52:00+05:30,3,2026-02-24,59800,59900,60000,1300.0,1371.9,1416.0,1230.0,1275.65,1338.0,-27.8,16.7,30,1335.0,519.01,815.99,Revert,2026-02
20260201,PE,2026-02-01 12:53:00+05:30,2026-02-01 13:00:00+05:30,7,2026-02-24,59800,59900,60000,1269.6,1335.05,1378.8,1188.5,1240.65,1303.55,-21.7,10.75,30,973.5,508.52,464.98,Revert,2026-02
20260201,PE,2026-02-01 13:01:00+05:30,2026-02-01 13:02:00+05:30,1,2026-02-24,59800,59900,60000,1133.8,1219.35,1246.6,1177.1,1234.45,1297.2,-58.3,5.4,30,1911.0,490.37,1420.63,Revert,2026-02
20260201,PE,2026-02-01 13:18:00+05:30,2026-02-01 13:20:00+05:30,2,2026-02-24,59800,59900,60000,1174.15,1250.5,1305.55,1180.25,1239.05,1300.0,-21.3,2.15,30,703.5,495.77,207.73,Revert,2026-02
20260201,PE,2026-02-01 13:21:00+05:30,2026-02-01 13:22:00+05:30,1,2026-02-24,59800,59900,60000,1131.3,1208.45,1258.35,1131.5,1185.55,1242.7,-27.25,3.1,30,910.5,482.15,428.35,Revert,2026-02
20260201,PE,2026-02-01 13:43:00+05:30,2026-02-01 13:45:00+05:30,2,2026-02-24,59800,59900,60000,1241.9,1331.3,1349.55,1204.85,1255.85,1319.9,-71.15,13.05,30,2526.0,509.62,2016.38,Revert,2026-02
20260201,PE,2026-02-01 13:55:00+05:30,2026-02-01 13:58:00+05:30,3,2026-02-24,59800,59900,60000,1274.3,1351.95,1364.35,1226.95,1267.05,1360.1,-65.25,52.95,30,3546.0,516.53,3029.47,Revert,2026-02
20260201,PE,2026-02-01 14:00:00+05:30,2026-02-01 14:03:00+05:30,3,2026-02-24,59800,59900,60000,1201.2,1298.25,1332.0,1235.15,1272.2,1332.1,-63.3,22.85,30,2584.5,507.91,2076.59,Revert,2026-02
20260201,PE,2026-02-01 14:18:00+05:30,2026-02-01 14:20:00+05:30,2,2026-02-24,59800,59900,60000,1283.85,1360.05,1410.65,1224.15,1292.55,1369.5,-25.6,8.55,30,1024.5,519.29,505.21,Revert,2026-02
20260201,PE,2026-02-01 14:23:00+05:30,2026-02-01 14:32:00+05:30,9,2026-02-24,59800,59900,60000,1230.0,1311.05,1369.9,1230.2,1266.1,1341.4,-22.2,39.4,30,1848.0,510.38,1337.62,Revert,2026-02
20260201,PE,2026-02-01 14:33:00+05:30,2026-02-01 14:39:00+05:30,6,2026-02-24,59800,59900,60000,1219.5,1291.3,1332.95,1228.9,1286.2,1345.0,-30.15,1.5,30,949.5,508.13,441.37,Revert,2026-02
20260201,PE,2026-02-01 15:04:00+05:30,2026-02-01 15:09:00+05:30,5,2026-02-24,59800,59900,60000,1335.0,1414.55,1473.8,1437.85,1500.0,1578.0,-20.3,15.85,30,1084.5,557.07,527.43,Revert,2026-02
20260201,PE,2026-02-01 15:20:00+05:30,2026-02-01 15:22:00+05:30,2,2026-02-24,59800,59900,60000,1590.0,1664.55,1719.05,1561.35,1620.0,1716.0,-20.05,37.35,30,1722.0,610.97,1111.03,Revert,2026-02
20260201,PE,2026-02-01 15:23:00+05:30,2026-02-01 15:24:00+05:30,1,2026-02-24,59800,59900,60000,1574.9,1654.0,1712.8,1585.0,1660.0,1725.0,-20.3,-10.0,30,309.0,612.43,-303.43,EOD,2026-02
20260203,PE,2026-02-03 10:16:00+05:30,2026-02-03 10:17:00+05:30,1,2026-02-24,60200,60300,60400,870.4,931.1,970.0,872.45,919.45,972.35,-21.8,5.9,30,831.0,405.03,425.97,Revert,2026-02
20260225,PE,2026-02-25 13:39:00+05:30,2026-02-25 13:44:00+05:30,5,2026-03-30,61500,61600,61700,990.0,1054.6,1080.0,992.0,1044.0,1100.2,-39.2,4.2,30,1302.0,440.0,862.0,Revert,2026-02
20260304,PE,2026-03-04 10:43:00+05:30,2026-03-04 10:44:00+05:30,1,2026-03-30,59100,59200,59300,1174.05,1234.05,1269.5,1165.05,1210.55,1260.55,-24.55,4.5,30,871.5,489.47,382.03,Revert,2026-03
20260304,PE,2026-03-04 11:43:00+05:30,2026-03-04 11:44:00+05:30,1,2026-03-30,59100,59200,59300,1212.7,1273.55,1312.25,1235.95,1274.0,1329.75,-22.15,17.7,30,1195.5,504.91,690.59,Revert,2026-03
20260305,PE,2026-03-05 13:35:00+05:30,2026-03-05 13:39:00+05:30,4,2026-03-30,59100,59200,59300,1026.1,1073.45,1100.7,1047.95,1092.75,1138.0,-20.1,0.45,30,616.5,449.67,166.83,Revert,2026-03
20260305,PE,2026-03-05 14:23:00+05:30,2026-03-05 14:24:00+05:30,1,2026-03-30,59100,59200,59300,1089.9,1160.0,1176.55,1034.05,1077.5,1123.1,-53.55,2.15,30,1671.0,459.46,1211.54,Revert,2026-03
20260306,PE,2026-03-06 14:01:00+05:30,2026-03-06 14:03:00+05:30,2,2026-03-30,58800,58900,59000,1189.2,1246.1,1279.95,1191.35,1230.35,1285.0,-23.05,15.65,30,1161.0,494.66,666.34,Revert,2026-03
