date,entry_bar,exit_bar,hold_bars,direction,atm_strike,entry_ce,entry_pe,exit_ce,exit_pe,entry_spread,exit_spread,lot_size,gross_pnl,charges,net_pnl,exit_reason,month
20251208,2025-12-08 14:15:00+05:30,2025-12-08 14:18:00+05:30,3,+1 (sell CE / buy PE),59900,427.0,851.0,424.0,861.55,25.0,4.45,35,474.25,201.17,273.08,Revert,2025-12
20251208,2025-12-08 14:30:00+05:30,2025-12-08 14:37:00+05:30,7,+1 (sell CE / buy PE),59900,440.55,839.0,439.55,846.0,27.55,3.95,35,280.0,201.09,78.91,Revert,2025-12
20251208,2025-12-08 14:43:00+05:30,2025-12-08 14:52:00+05:30,9,+1 (sell CE / buy PE),59900,442.75,835.05,462.9,790.65,25.1,3.45,35,-2259.25,197.82,-2457.07,Revert,2025-12
20251208,2025-12-08 14:55:00+05:30,2025-12-08 15:24:00+05:30,29,+1 (sell CE / buy PE),59900,459.55,802.5,439.0,820.0,25.05,12.0,35,1331.75,200.03,1131.72,EOD,2025-12
20251209,2025-12-09 09:51:00+05:30,2025-12-09 09:52:00+05:30,1,+1 (sell CE / buy PE),59300,631.95,634.85,635.75,635.0,25.5,3.55,35,-127.75,199.65,-327.4,Revert,2025-12
20251209,2025-12-09 11:01:00+05:30,2025-12-09 11:04:00+05:30,3,+1 (sell CE / buy PE),59300,762.9,501.6,769.1,502.7,26.1,10.8,35,-178.5,199.56,-378.06,EOD,2025-12
20251210,2025-12-10 11:19:00+05:30,2025-12-10 11:22:00+05:30,3,+1 (sell CE / buy PE),59600,492.55,673.85,476.15,702.85,25.5,2.9,35,1589.0,192.93,1396.07,Revert,2025-12
20251210,2025-12-10 11:39:00+05:30,2025-12-10 11:59:00+05:30,20,+1 (sell CE / buy PE),59600,442.85,756.4,451.2,743.0,25.45,3.4,35,-761.25,193.2,-954.45,Revert,2025-12
20251210,2025-12-10 12:04:00+05:30,2025-12-10 12:07:00+05:30,3,+1 (sell CE / buy PE),59600,449.1,750.2,461.95,720.85,26.3,3.1,35,-1477.0,192.2,-1669.2,Revert,2025-12
20251210,2025-12-10 12:31:00+05:30,2025-12-10 12:48:00+05:30,17,+1 (sell CE / buy PE),59600,417.3,806.1,426.9,797.85,25.2,3.25,35,-624.75,195.57,-820.32,Revert,2025-12
