date,entry_bar,exit_bar,hold_bars,direction,atm_strike,synth_strike,entry_ce,entry_pe,entry_sce,entry_spe,exit_ce,exit_pe,exit_sce,exit_spe,entry_spread,exit_spread,arb_gross,synth_gross,lot_size,gross_pnl,charges,net_pnl,exit_reason,month
20251208,2025-12-08 14:15:00+05:30,2025-12-08 14:18:00+05:30,3,+1 (sell CE / buy CE@ATM-100),59900,59800,427.0,851.0,468.95,800.0,424.0,861.55,465.05,799.8,25.0,4.45,474.25,-129.5,35,344.75,400.66,-55.91,Revert,2025-12
20251208,2025-12-08 14:30:00+05:30,2025-12-08 14:37:00+05:30,7,+1 (sell CE / buy CE@ATM-100),59900,59800,440.55,839.0,481.0,786.9,439.55,846.0,483.7,784.0,27.55,3.95,280.0,196.0,35,476.0,400.89,75.11,Revert,2025-12
20251208,2025-12-08 14:43:00+05:30,2025-12-08 14:52:00+05:30,9,+1 (sell CE / buy CE@ATM-100),59900,59800,442.75,835.05,487.55,783.7,462.9,790.65,506.4,736.75,25.1,3.45,-2259.25,2303.0,35,43.75,398.3,-354.55,Revert,2025-12
20251208,2025-12-08 14:55:00+05:30,2025-12-08 15:24:00+05:30,29,+1 (sell CE / buy CE@ATM-100),59900,59800,459.55,802.5,502.0,749.85,439.0,820.0,482.8,759.0,25.05,12.0,1331.75,-992.25,35,339.5,397.22,-57.72,EOD,2025-12
20251209,2025-12-09 09:51:00+05:30,2025-12-09 09:52:00+05:30,1,+1 (sell CE / buy CE@ATM-100),59300,59200,631.95,634.85,685.05,590.0,635.75,635.0,684.0,590.3,25.5,3.55,-127.75,-47.25,35,-175.0,399.84,-574.84,Revert,2025-12
20251209,2025-12-09 11:01:00+05:30,2025-12-09 11:04:00+05:30,3,+1 (sell CE / buy CE@ATM-100),59300,59200,762.9,501.6,820.8,463.8,769.1,502.7,828.3,464.55,26.1,10.8,-178.5,236.25,35,57.75,401.13,-343.38,EOD,2025-12
20251210,2025-12-10 11:19:00+05:30,2025-12-10 11:22:00+05:30,3,+1 (sell CE / buy CE@ATM-100),59600,59500,492.55,673.85,537.15,623.55,476.15,702.85,521.45,650.9,25.5,2.9,1589.0,-1506.75,35,82.25,383.08,-300.83,Revert,2025-12
20251210,2025-12-10 11:39:00+05:30,2025-12-10 11:59:00+05:30,20,+1 (sell CE / buy CE@ATM-100),59600,59500,442.85,756.4,485.7,700.2,451.2,743.0,493.55,688.0,25.45,3.4,-761.25,701.75,35,-59.5,386.39,-445.89,Revert,2025-12
20251210,2025-12-10 12:04:00+05:30,2025-12-10 12:07:00+05:30,3,+1 (sell CE / buy CE@ATM-100),59600,59500,449.1,750.2,491.75,688.75,461.95,720.85,506.5,666.75,26.3,3.1,-1477.0,1286.25,35,-190.75,385.26,-576.01,Revert,2025-12
20251210,2025-12-10 12:31:00+05:30,2025-12-10 12:48:00+05:30,17,+1 (sell CE / buy CE@ATM-100),59600,59500,417.3,806.1,457.55,751.5,426.9,797.85,468.0,736.0,25.2,3.25,-624.75,908.25,35,283.5,390.81,-107.31,Revert,2025-12
