symbol,pair,width,direction,entry_ts,exit_ts,hold_ticks,units,entry_msp,exit_msp,entry_box,exit_box,gross_pnl,charges,net_pnl,exit_reason
NIFTY,"(+1,+3)",100,-1,09:18:00,09:18:00,5,130,8.05,-0.05,91.95,99.25,949.0,407.25,541.75,Revert
NIFTY,"(-1,+1)",100,-1,09:18:00,09:18:01,7,130,8.95,-0.5,91.075,99.75,1127.75,401.14,726.61,Revert
NIFTY,"(+0,+1)",50,-1,09:18:00,09:18:01,7,130,8.45,-0.75,41.575,49.9,1082.25,400.51,681.74,Revert
NIFTY,"(-1,+3)",200,-1,09:18:00,09:18:02,28,130,9.35,0.82,190.65,198.5,1020.5,407.06,613.44,Revert
NIFTY,"(+0,+3)",150,-1,09:18:00,09:18:02,30,130,8.85,0.87,141.15,148.425,945.75,406.46,539.29,Revert
NIFTY,"(-1,+2)",150,-1,09:19:09,09:19:09,6,130,8.05,0.0,141.95,149.2,942.5,402.76,539.74,Revert
NIFTY,"(+1,+2)",50,-1,09:19:09,09:19:09,5,130,8.5,-1.02,41.5,50.3,1144.0,402.62,741.38,Revert
NIFTY,"(-3,+2)",250,-1,09:19:09,09:19:10,5,130,8.7,0.75,241.3,248.5,936.0,409.29,526.71,Revert
NIFTY,"(-3,+1)",200,1,14:30:32,14:30:32,5,130,8.25,-0.27,208.25,200.375,1023.75,424.33,599.42,Revert
NIFTY,"(-1,+1)",100,1,14:30:32,14:30:32,5,130,8.15,-0.2,108.15,100.625,978.25,430.78,547.47,Revert
NIFTY,"(+0,+1)",50,1,14:52:40,14:52:41,9,130,8.55,-0.73,58.4,50.175,1069.25,438.4,630.85,Revert
NIFTY,"(-1,+3)",200,-1,14:52:41,14:52:41,5,130,8.0,0.2,192.0,199.1,923.0,449.05,473.95,Revert
NIFTY,"(-1,+1)",100,1,14:52:40,14:52:41,10,130,9.1,0.48,109.075,101.325,1007.5,432.23,575.27,Revert
NIFTY,"(+1,+3)",100,-1,14:52:40,14:52:41,12,130,9.35,-1.1,90.675,99.875,1196.0,462.49,733.51,Revert
NIFTY,"(-3,+0)",150,1,14:52:41,14:52:41,6,130,8.45,-0.97,158.45,149.85,1118.0,419.5,698.5,Revert
NIFTY,"(-3,-1)",100,1,14:52:41,14:52:41,5,130,9.8,-0.42,109.8,100.35,1228.5,413.81,814.69,Revert
NIFTY,"(-3,+3)",300,1,14:52:41,14:52:41,5,130,8.5,-1.77,308.5,299.275,1199.25,444.18,755.07,Revert
NIFTY,"(-3,+3)",300,-1,14:53:17,14:53:20,34,130,8.15,0.42,291.85,298.65,884.0,440.43,443.57,Revert
NIFTY,"(-2,+3)",250,-1,15:00:01,15:00:01,5,130,8.25,-4.02,241.75,253.5,1527.5,445.69,1081.81,Revert
NIFTY,"(+0,+1)",50,-1,15:00:00,15:00:01,9,130,8.35,-1.95,41.675,50.775,1183.0,437.45,745.55,Revert
NIFTY,"(-2,+1)",150,-1,15:00:01,15:00:01,6,130,12.05,-5.35,137.975,154.65,2167.75,428.8,1738.95,Revert
NIFTY,"(+0,+3)",150,-1,15:00:01,15:00:01,5,130,11.2,-0.63,138.8,149.625,1407.25,455.28,951.97,Revert
NIFTY,"(-3,+0)",150,1,15:00:00,15:00:01,11,130,8.4,-1.6,158.325,149.225,1183.0,417.83,765.17,Revert
NIFTY,"(-3,-2)",50,1,15:00:01,15:00:01,8,130,12.1,-5.0,62.025,45.35,2167.75,409.18,1758.57,Revert
NIFTY,"(-3,+3)",300,1,15:00:01,15:00:01,5,130,16.05,-0.97,315.975,299.475,2145.0,444.46,1700.54,Revert
NIFTY,"(-3,+1)",200,1,15:00:01,15:00:02,5,130,17.2,-0.25,217.125,200.175,2203.5,426.42,1777.08,Revert
NIFTY,"(-2,-1)",50,-1,15:00:01,15:00:02,12,130,9.25,-4.25,40.75,53.8,1696.5,415.96,1280.54,Revert
NIFTY,"(-1,+0)",50,1,15:00:01,15:00:02,10,130,12.2,-0.85,62.2,50.075,1576.25,425.56,1150.69,Revert
NIFTY,"(-1,+1)",100,1,15:00:01,15:00:02,6,130,14.35,0.5,114.35,101.025,1732.25,433.2,1299.05,Revert
NIFTY,"(-1,+3)",200,1,15:00:01,15:00:02,5,130,13.2,-0.23,213.2,200.325,1673.75,451.24,1222.51,Revert
NIFTY,"(-3,-1)",100,-1,15:00:01,15:00:02,5,130,14.35,0.07,85.65,99.45,1794.0,412.57,1381.43,Revert
NIFTY,"(-2,+0)",100,1,15:00:00,15:00:02,17,130,8.1,0.5,108.05,101.425,861.25,420.16,441.09,Revert
NIFTY,"(+0,+2)",100,-1,15:00:01,15:00:02,16,130,9.4,-0.1,90.6,98.925,1082.25,446.43,635.82,Revert
NIFTY,"(-3,+2)",250,-1,15:00:01,15:00:02,10,130,11.55,0.82,238.45,248.45,1300.0,433.44,866.56,Revert
NIFTY,"(+2,+3)",50,1,15:00:02,15:00:02,7,130,10.4,0.52,60.4,51.325,1179.75,472.11,707.64,Revert
NIFTY,"(-1,+2)",150,-1,15:00:02,15:00:02,6,130,10.7,0.75,139.3,148.4,1183.0,440.61,742.39,Revert
NIFTY,"(-2,+2)",200,-1,15:00:02,15:00:02,5,130,9.35,0.17,190.65,199.0,1085.5,435.99,649.51,Revert
NIFTY,"(+1,+2)",50,-1,15:00:01,15:00:02,11,130,11.15,-0.83,38.85,49.9,1436.5,454.45,982.05,Revert
SENSEX,"(-1,+2)",300,-1,15:00:01,15:00:01,5,40,32.8,-8.08,267.5,299.15,1266.0,499.94,766.06,Revert
SENSEX,"(+0,+2)",200,1,15:00:01,15:00:01,9,40,30.25,-12.25,230.15,195.975,1367.0,501.85,865.15,Revert
SENSEX,"(-2,+0)",200,1,15:00:01,15:00:01,5,40,30.85,-2.45,230.75,203.45,1092.0,491.28,600.72,Revert
