date,pair,direction,entry_ts,exit_ts,hold_secs,entry_msp,exit_close_msp,entry_exec,exit_exec,lot_size,units,gross_pnl,exit_why,cum_pnl
20251211,"(+0,+1)",-1,2025-12-11 10:41:04+05:30,2025-12-11 10:41:05+05:30,1.0,11.08,0.65,38.92,50.62,75,150,1755.0,Revert,1755.0
20260105,"(+0,+1)",-1,2026-01-05 09:20:59+05:30,2026-01-05 09:21:00+05:30,1.0,9.62,-0.3,40.38,49.7,65,130,1212.25,Revert,2967.25
20260105,"(-1,+1)",1,2026-01-05 09:27:27+05:30,2026-01-05 09:27:28+05:30,1.0,8.8,0.35,108.8,99.65,65,130,1189.5,Revert,4156.75
20260112,"(-1,+0)",-1,2026-01-12 12:17:38+05:30,2026-01-12 12:17:39+05:30,1.0,8.5,-0.4,41.5,49.6,65,130,1053.0,Revert,5209.75
20260112,"(+0,+1)",1,2026-01-12 12:21:54+05:30,2026-01-12 12:21:55+05:30,1.0,8.9,-0.5,58.9,50.5,65,130,1092.0,Revert,6301.75
20260112,"(-1,+0)",1,2026-01-12 12:43:46+05:30,2026-01-12 12:43:47+05:30,1.0,9.45,-0.2,59.45,50.2,65,130,1202.5,Revert,7504.25
20260116,"(+0,+1)",-1,2026-01-16 12:28:38+05:30,2026-01-16 12:28:39+05:30,1.0,8.65,0.2,41.35,50.2,65,130,1150.5,Revert,8654.75
20260116,"(-1,+1)",1,2026-01-16 13:35:20+05:30,2026-01-16 13:35:21+05:30,1.0,11.2,0.95,111.2,99.05,65,130,1579.5,Revert,10234.25
20260116,"(-1,+1)",-1,2026-01-16 13:36:20+05:30,2026-01-16 13:36:21+05:30,1.0,8.6,-0.75,91.4,99.22,65,130,1017.25,Revert,11251.5
20260116,"(+0,+1)",1,2026-01-16 13:54:20+05:30,2026-01-16 13:54:23+05:30,3.0,8.1,-0.35,58.1,50.35,65,130,1007.5,Revert,12259.0
20260119,"(+0,+1)",1,2026-01-19 09:20:00+05:30,2026-01-19 09:20:01+05:30,1.0,8.25,3.2,58.25,46.8,65,130,1488.5,Revert,13747.5
20260121,"(-1,+0)",1,2026-01-21 10:43:24+05:30,2026-01-21 10:43:28+05:30,4.0,10.7,-1.0,60.7,51.02,65,130,1257.75,Revert,15005.25
20260121,"(-1,+0)",1,2026-01-21 10:56:10+05:30,2026-01-21 10:56:14+05:30,4.0,8.03,-0.7,58.03,50.7,65,130,952.25,Revert,15957.5
20260121,"(-1,+1)",-1,2026-01-21 10:57:00+05:30,2026-01-21 10:57:01+05:30,1.0,8.25,1.25,91.75,101.25,65,130,1235.0,Revert,17192.5
20260121,"(-1,+0)",-1,2026-01-21 10:58:10+05:30,2026-01-21 10:58:12+05:30,2.0,8.4,1.15,41.6,51.15,65,130,1241.5,Revert,18434.0
20260121,"(-1,+0)",1,2026-01-21 11:10:37+05:30,2026-01-21 11:10:38+05:30,1.0,8.05,-0.75,58.05,50.75,65,130,949.0,Revert,19383.0
20260121,"(+0,+1)",-1,2026-01-21 11:14:55+05:30,2026-01-21 11:14:56+05:30,1.0,8.22,0.0,41.78,49.95,65,130,1062.75,Revert,20445.75
20260121,"(-1,+0)",1,2026-01-21 11:19:40+05:30,2026-01-21 11:19:42+05:30,2.0,8.65,0.45,58.65,49.55,65,130,1183.0,Revert,21628.75
20260121,"(-1,+0)",1,2026-01-21 11:47:13+05:30,2026-01-21 11:47:14+05:30,1.0,9.6,0.25,59.6,49.85,65,130,1267.5,Revert,22896.25
20260121,"(-1,+0)",1,2026-01-21 11:51:43+05:30,2026-01-21 11:51:44+05:30,1.0,8.0,5.3,58.0,44.72,65,130,1725.75,Revert,24622.0
20260121,"(+0,+1)",-1,2026-01-21 12:37:57+05:30,2026-01-21 12:37:59+05:30,2.0,13.2,-0.35,36.8,49.65,65,130,1670.5,Revert,26292.5
