date,pair,width,o1,o2,atm_strike,k1_strike,k2_strike,entry_bar,exit_bar,hold_bars,lot_size,entry_ce_k1,entry_ce_k2,entry_pe_k1,entry_pe_k2,exit_ce_k1,exit_ce_k2,exit_pe_k1,exit_pe_k2,entry_box,exit_box,entry_msp,exit_msp,gross_pnl,charges,net_pnl,exit_reason
20251208,"(-3,-2)  w=100",100,-3,-2,28000,27700,27800,2025-12-08 09:35:00+05:30,2025-12-08 09:39:00+05:30,4,65,493.95,411.0,191.0,228.85,464.1,403.85,189.9,228.65,120.8,99.0,20.8,-1.0,1417.0,391.16,1025.84,Revert
20251208,"(-3,-2)  w=100",100,-3,-2,28000,27700,27800,2025-12-08 10:15:00+05:30,2025-12-08 10:46:00+05:30,31,65,451.0,409.9,185.8,217.0,467.35,407.0,185.0,222.45,72.3,97.8,-27.7,-2.2,1657.5,386.26,1271.24,Revert
20251208,"(-3,-2)  w=100",100,-3,-2,28000,27700,27800,2025-12-08 11:46:00+05:30,2025-12-08 12:04:00+05:30,18,65,418.35,375.8,201.0,238.0,439.55,377.55,197.5,236.65,79.55,101.15,-20.45,1.15,1404.0,381.37,1022.63,Revert
20251208,"(-3,-2)  w=100",100,-3,-2,28000,27700,27800,2025-12-08 12:29:00+05:30,2025-12-08 12:30:00+05:30,1,65,436.95,353.1,212.0,253.05,400.0,345.9,220.65,263.75,124.9,97.2,24.9,-2.8,1800.5,381.74,1418.76,Revert
20251208,"(-3,-2)  w=100",100,-3,-2,28000,27700,27800,2025-12-08 13:05:00+05:30,2025-12-08 13:10:00+05:30,5,65,416.0,380.5,206.45,248.05,427.0,368.05,208.85,250.95,77.1,101.05,-22.9,1.05,1556.75,383.13,1173.62,Revert
20251208,"(-3,-2)  w=100",100,-3,-2,28000,27700,27800,2025-12-08 13:28:00+05:30,2025-12-08 13:32:00+05:30,4,65,394.45,320.0,239.1,288.45,361.45,306.8,256.0,303.0,123.8,101.65,23.8,1.65,1439.75,380.23,1059.52,Revert
20251209,"(-3,-2)  w=100",100,-3,-2,27700,27400,27500,2025-12-09 09:30:00+05:30,2025-12-09 10:14:00+05:30,44,65,646.5,433.95,171.2,216.9,473.8,409.15,186.5,221.9,258.25,100.05,158.25,0.05,10283.0,409.13,9873.87,Revert
20251209,"(-3,-2)  w=100",100,-3,-2,27700,27400,27500,2025-12-09 10:18:00+05:30,2025-12-09 10:20:00+05:30,2,65,473.8,429.1,178.0,205.0,490.35,429.0,178.0,216.35,71.7,99.7,-28.3,-0.3,1820.0,390.55,1429.45,Revert
20251209,"(-3,-2)  w=100",100,-3,-2,27700,27400,27500,2025-12-09 10:29:00+05:30,2025-12-09 10:43:00+05:30,14,65,490.35,413.45,174.15,217.9,490.35,425.0,176.6,209.8,120.65,98.55,20.65,-1.45,1436.5,390.12,1046.38,Revert
20251209,"(-3,-2)  w=100",100,-3,-2,27700,27400,27500,2025-12-09 10:59:00+05:30,2025-12-09 11:04:00+05:30,5,65,488.15,443.65,170.0,197.55,488.15,442.55,166.5,203.15,72.05,82.25,-27.95,-17.75,663.0,389.71,273.29,EOD
20251211,"(-3,-2)  w=100",100,-3,-2,27200,26900,27000,2025-12-11 09:34:00+05:30,2025-12-11 15:24:00+05:30,346,65,0.0,607.2,68.1,85.85,0.0,720.0,46.75,58.5,-589.45,-708.25,-689.45,-808.25,-7722.0,305.43,-8027.43,EOD
20251215,"(-3,-2)  w=100",100,-3,-2,27700,27400,27500,2025-12-15 10:40:00+05:30,2025-12-15 11:00:00+05:30,20,65,394.75,313.5,141.7,182.25,394.75,330.0,133.3,170.65,121.8,102.1,21.8,2.1,1280.5,348.63,931.87,Revert
20251215,"(-3,-2)  w=100",100,-3,-2,27700,27400,27500,2025-12-15 11:58:00+05:30,2025-12-15 12:01:00+05:30,3,65,423.0,371.95,114.15,141.5,435.0,367.7,112.3,142.55,78.4,97.55,-21.6,-2.45,1244.75,352.24,892.51,Revert
20251215,"(-3,-2)  w=100",100,-3,-2,27700,27400,27500,2025-12-15 12:42:00+05:30,2025-12-15 13:04:00+05:30,22,65,449.3,355.35,107.4,147.9,441.65,369.05,111.85,141.65,134.45,102.4,34.45,2.4,2083.25,354.09,1729.16,Revert
