date,pair,width,o1,o2,entry_bar,exit_bar,hold_bars,lot_size,lots,units,open_pairs,entry_ce_k1,entry_ce_k2,entry_pe_k1,entry_pe_k2,exit_ce_k1,exit_ce_k2,exit_pe_k1,exit_pe_k2,entry_box,exit_box,entry_msp,exit_msp,gross_pnl,charges,net_pnl,exit_reason
20251211,"(-3,-2)",100,-3,-2,2025-12-11 10:06:00+05:30,2025-12-11 10:08:00+05:30,2,140,2,280,6,464.7,361.9,69.45,93.575,445.875,377.1,66.05,87.825,126.925,90.55,-57.52,-0.6,-10185.0,834.39,-11019.39,Revert
20251211,"(-3,-1)",200,-3,-1,2025-12-11 10:06:00+05:30,2025-12-11 10:08:00+05:30,2,140,2,280,5,464.7,293.075,69.45,123.125,445.875,305.35,66.05,116.275,225.3,190.75,-57.5,-2.45,-9674.0,807.34,-10481.34,Revert
20251211,"(-3,+0)",300,-3,0,2025-12-11 10:06:00+05:30,2025-12-11 10:08:00+05:30,2,140,2,280,4,464.7,231.0,69.45,161.375,445.875,241.75,66.05,152.5,325.625,290.575,-57.25,-2.93,-9814.0,790.23,-10604.23,Revert
20251211,"(-3,+3)",600,-3,3,2025-12-11 10:06:00+05:30,2025-12-11 10:09:00+05:30,3,140,2,280,3,464.7,94.025,69.45,322.825,442.85,96.675,66.65,310.875,624.05,590.4,-59.75,-2.0,-9422.0,802.26,-10224.26,Revert
20251211,"(-3,+2)",500,-3,2,2025-12-11 10:06:00+05:30,2025-12-11 10:09:00+05:30,3,140,2,280,2,464.7,131.15,69.45,259.85,442.85,134.75,66.65,249.525,523.95,490.975,-59.25,-2.25,-9233.0,786.08,-10019.08,Revert
20251211,"(-3,+1)",400,-3,1,2025-12-11 10:06:00+05:30,2025-12-11 10:09:00+05:30,3,140,2,280,1,464.7,176.9,69.45,205.95,442.85,181.5,66.65,197.0,424.3,391.7,-58.73,-1.82,-9128.0,781.54,-9909.54,Revert
20251211,"(-3,+2)",500,-3,2,2025-12-11 12:02:00+05:30,2025-12-11 12:06:00+05:30,4,140,2,280,6,492.5,155.1,55.0,218.15,496.825,163.0,51.875,206.225,500.55,488.175,-26.25,-0.77,-3465.0,796.88,-4261.88,Revert
20251211,"(-3,+3)",600,-3,3,2025-12-11 12:02:00+05:30,2025-12-11 12:06:00+05:30,4,140,2,280,5,492.5,112.2,55.0,276.025,496.825,118.975,51.875,260.5,601.325,586.475,-26.18,-0.88,-4158.0,804.75,-4962.75,Revert
20251211,"(-3,+1)",400,-3,1,2025-12-11 12:02:00+05:30,2025-12-11 12:06:00+05:30,4,140,2,280,4,492.5,206.0,55.0,169.35,496.825,216.175,51.875,159.6,400.85,388.375,-26.0,-0.38,-3493.0,799.73,-4292.73,Revert
20251211,"(-3,+0)",300,-3,0,2025-12-11 12:02:00+05:30,2025-12-11 12:06:00+05:30,4,140,2,280,3,492.5,265.875,55.0,130.25,496.825,277.9,51.875,122.475,301.875,289.525,-24.95,1.0,-3458.0,814.83,-4272.83,Revert
20251211,"(-3,-1)",200,-3,-1,2025-12-11 12:02:00+05:30,2025-12-11 12:06:00+05:30,4,140,2,280,2,492.5,333.125,55.0,98.275,496.825,348.075,51.875,92.25,202.65,189.125,-24.38,0.93,-3787.0,839.57,-4626.57,Revert
20251211,"(-3,-2)",100,-3,-2,2025-12-11 12:02:00+05:30,2025-12-11 12:07:00+05:30,5,140,2,280,1,492.5,402.775,55.0,73.9,502.5,428.425,51.65,68.65,108.625,91.075,-22.73,-0.38,-4914.0,874.43,-5788.43,Revert
20251211,"(-3,-2)",100,-3,-2,2025-12-11 13:13:00+05:30,2025-12-11 13:15:00+05:30,2,140,2,280,6,490.025,386.925,57.075,76.65,473.425,405.975,53.55,71.1,122.675,85.0,-25.45,0.23,-10549.0,850.14,-11399.14,Revert
20251211,"(-3,+1)",400,-3,1,2025-12-11 13:13:00+05:30,2025-12-11 13:16:00+05:30,3,140,2,280,5,490.025,193.125,57.075,175.5,481.675,201.25,54.35,167.35,415.325,393.425,-28.58,-2.42,-6132.0,788.84,-6920.84,Revert
20251211,"(-3,+0)",300,-3,0,2025-12-11 13:13:00+05:30,2025-12-11 13:16:00+05:30,3,140,2,280,4,490.025,252.25,57.075,135.35,481.675,261.5,54.35,128.5,316.05,294.325,-27.82,-1.43,-6083.0,802.28,-6885.28,Revert
20251211,"(-3,-1)",200,-3,-1,2025-12-11 13:13:00+05:30,2025-12-11 13:16:00+05:30,3,140,2,280,3,490.025,318.125,57.075,102.525,481.675,329.975,54.35,96.875,217.35,194.225,-27.42,-1.08,-6475.0,825.21,-7300.21,Revert
20251211,"(-3,+3)",600,-3,3,2025-12-11 13:13:00+05:30,2025-12-11 13:20:00+05:30,7,140,2,280,2,490.025,103.275,57.075,286.525,481.875,108.55,54.7,272.525,616.2,591.15,-29.15,-1.25,-7014.0,799.55,-7813.55,Revert
20251211,"(-3,+2)",500,-3,2,2025-12-11 13:13:00+05:30,2025-12-11 13:20:00+05:30,7,140,2,280,1,490.025,143.95,57.075,226.075,481.875,150.35,54.7,216.75,515.075,493.575,-28.92,-0.23,-6020.0,789.07,-6809.07,Revert
20251211,"(-3,+3)",600,-3,3,2025-12-11 13:32:00+05:30,2025-12-11 13:34:00+05:30,2,140,2,280,6,499.825,110.825,51.875,266.525,498.975,114.6,50.4,258.15,603.65,592.125,-55.52,-2.35,-3227.0,801.21,-4028.21,Revert
20251211,"(-3,+2)",500,-3,2,2025-12-11 13:32:00+05:30,2025-12-11 13:34:00+05:30,2,140,2,280,5,499.825,153.8,51.875,209.3,498.975,158.8,50.4,203.25,503.45,493.025,-54.42,-2.75,-2919.0,793.15,-3712.15,Revert
20251211,"(-3,+1)",400,-3,1,2025-12-11 13:32:00+05:30,2025-12-11 13:34:00+05:30,2,140,2,280,4,499.825,206.6,51.875,162.1,498.975,212.15,50.4,157.125,403.45,393.55,-54.22,-2.25,-2772.0,797.52,-3569.52,Revert
20251211,"(-3,-1)",200,-3,-1,2025-12-11 13:32:00+05:30,2025-12-11 13:34:00+05:30,2,140,2,280,3,499.825,336.075,51.875,93.55,498.975,344.7,50.4,90.375,205.425,194.25,-53.3,-0.97,-3129.0,839.34,-3968.34,Revert
20251211,"(-3,-2)",100,-3,-2,2025-12-11 13:32:00+05:30,2025-12-11 13:34:00+05:30,2,140,2,280,2,499.825,410.825,51.875,69.7,498.975,423.825,50.4,67.175,106.825,91.925,-53.25,-0.42,-4172.0,874.05,-5046.05,Revert
