date,pair,width,o1,o2,atm_strike,k1_strike,k2_strike,entry_bar,exit_bar,hold_bars,lot_size,entry_ce_k1,entry_ce_k2,entry_pe_k1,entry_pe_k2,exit_ce_k1,exit_ce_k2,exit_pe_k1,exit_pe_k2,entry_box,exit_box,entry_msp,exit_msp,gross_pnl,charges,net_pnl,exit_reason
20251209,"(-3,-2)  w=100",100,-3,-2,13700,13400,13500,2025-12-09 09:30:00+05:30,2025-12-09 09:53:00+05:30,23,140,582.4,300.0,111.55,140.55,317.0,255.1,138.85,175.9,311.4,98.95,211.4,-1.05,29743.0,546.31,29196.69,Revert
20251209,"(-3,-2)  w=100",100,-3,-2,13700,13400,13500,2025-12-09 10:06:00+05:30,2025-12-09 10:13:00+05:30,7,140,311.1,274.65,125.0,160.6,360.0,292.2,111.65,144.55,72.05,100.7,-27.95,0.7,4011.0,487.28,3523.72,Revert
20251209,"(-3,-2)  w=100",100,-3,-2,13700,13400,13500,2025-12-09 10:16:00+05:30,2025-12-09 10:35:00+05:30,19,140,360.0,318.0,95.85,126.6,360.0,294.0,103.35,135.6,72.75,98.25,-27.25,-1.75,3570.0,489.22,3080.78,Revert
20251209,"(-3,-2)  w=100",100,-3,-2,13700,13400,13500,2025-12-09 10:59:00+05:30,2025-12-09 11:04:00+05:30,5,140,367.0,321.0,91.3,120.6,410.0,334.0,84.65,112.3,75.3,103.65,-24.7,3.65,3969.0,497.39,3471.61,EOD
20251211,"(-3,-2)  w=100",100,-3,-2,13700,13400,13500,2025-12-11 09:39:00+05:30,2025-12-11 09:49:00+05:30,10,140,350.6,261.1,112.4,145.95,360.4,288.0,96.35,126.9,123.05,102.95,23.05,2.95,2814.0,480.08,2333.92,Revert
20251211,"(-3,-2)  w=100",100,-3,-2,13700,13400,13500,2025-12-11 12:02:00+05:30,2025-12-11 12:10:00+05:30,8,140,388.0,334.1,73.3,98.0,428.85,350.0,67.9,90.0,78.6,100.95,-21.4,0.95,3129.0,495.0,2634.0,Revert
20251211,"(-3,-2)  w=100",100,-3,-2,13700,13400,13500,2025-12-11 12:50:00+05:30,2025-12-11 13:23:00+05:30,33,140,414.95,358.0,64.65,86.45,401.85,330.0,73.1,100.0,78.75,98.75,-21.25,-1.25,2800.0,494.57,2305.43,Revert
20251215,"(-3,-2)  w=100",100,-3,-2,13900,13600,13700,2025-12-15 12:15:00+05:30,2025-12-15 12:16:00+05:30,1,140,363.2,307.7,61.8,83.75,384.1,305.3,61.9,83.95,77.45,100.85,-22.55,0.85,3276.0,465.47,2810.53,Revert
20251218,"(-3,-2)  w=100",100,-3,-2,13700,13400,13500,2025-12-18 10:23:00+05:30,2025-12-18 10:26:00+05:30,3,140,320.0,265.0,48.4,71.9,335.0,257.95,50.65,75.35,78.5,101.75,-21.5,1.75,3255.0,427.69,2827.31,Revert
20251218,"(-3,-2)  w=100",100,-3,-2,13700,13400,13500,2025-12-18 10:32:00+05:30,2025-12-18 10:34:00+05:30,2,140,335.0,278.0,43.7,65.95,363.0,287.0,42.8,63.8,79.25,97.0,-20.75,-3.0,2485.0,436.26,2048.74,Revert
20251218,"(-3,-2)  w=100",100,-3,-2,13700,13400,13500,2025-12-18 11:22:00+05:30,2025-12-18 11:23:00+05:30,1,140,349.0,290.0,41.6,62.15,372.7,290.0,41.05,61.25,79.55,102.9,-20.45,2.9,3269.0,441.57,2827.43,Revert
20251218,"(-3,-2)  w=100",100,-3,-2,13700,13400,13500,2025-12-18 14:03:00+05:30,2025-12-18 14:15:00+05:30,12,140,407.1,304.0,34.15,52.05,376.3,293.9,36.6,56.0,121.0,101.8,21.0,1.8,2688.0,449.83,2238.17,Revert
20251218,"(-3,-2)  w=100",100,-3,-2,13700,13400,13500,2025-12-18 14:25:00+05:30,2025-12-18 14:39:00+05:30,14,140,376.3,273.85,40.6,60.6,376.3,295.05,39.0,57.35,122.45,99.6,22.45,-0.4,3199.0,443.39,2755.61,Revert
20260101,"(-3,-2)  w=100",100,-3,-2,14300,14000,14100,2026-01-01 09:46:00+05:30,2026-01-01 09:50:00+05:30,4,120,121.95,88.05,306.0,350.55,130.85,94.4,290.0,350.55,78.45,97.0,-21.55,-3.0,2226.0,437.0,1789.0,Revert
20260101,"(-3,-2)  w=100",100,-3,-2,14300,14000,14100,2026-01-01 10:12:00+05:30,2026-01-01 10:46:00+05:30,34,120,121.25,86.75,307.7,350.55,127.95,91.0,289.55,350.55,77.35,97.95,-22.65,-2.05,2472.0,436.18,2035.82,Revert
20260101,"(-3,-2)  w=100",100,-3,-2,14300,14000,14100,2026-01-01 11:21:00+05:30,2026-01-01 11:46:00+05:30,25,120,137.7,99.05,269.1,350.55,148.75,109.2,266.8,330.0,120.1,102.75,20.1,2.75,2082.0,433.88,1648.12,Revert
20260101,"(-3,-2)  w=100",100,-3,-2,14300,14000,14100,2026-01-01 12:17:00+05:30,2026-01-01 13:08:00+05:30,51,120,140.0,102.0,274.0,314.55,143.85,104.85,264.4,326.65,78.55,101.25,-21.45,1.25,2724.0,428.54,2295.46,Revert
