date,pair,width,o1,o2,entry_bar,exit_bar,hold_bars,lot_size,lots,units,open_pairs,entry_ce_k1,entry_ce_k2,entry_pe_k1,entry_pe_k2,exit_ce_k1,exit_ce_k2,exit_pe_k1,exit_pe_k2,entry_box,exit_box,entry_msp,exit_msp,gross_pnl,charges,net_pnl,exit_reason
20260120,"(-3,+3)",300,-3,3,2026-01-20 09:53:00+05:30,2026-01-20 09:55:00+05:30,2,65,2,130,3,96.35,6.45,31.15,249.65,96.95,6.7,30.75,240.6,308.4,300.1,8.88,-0.38,1079.0,306.56,772.44,Revert
20260120,"(+2,+3)",50,2,3,2026-01-20 09:53:00+05:30,2026-01-20 09:55:00+05:30,2,65,2,130,2,10.55,6.45,195.9,249.65,10.6,6.7,194.85,240.6,57.85,49.65,8.38,-0.85,1066.0,330.71,735.29,Revert
20260120,"(+0,+3)",150,0,3,2026-01-20 09:53:00+05:30,2026-01-20 09:56:00+05:30,3,65,2,130,1,27.75,6.45,113.4,249.65,26.05,6.6,119.8,250.4,157.55,150.05,8.03,-0.43,975.0,312.88,662.12,Revert
20260121,"(-2,+0)",100,-2,0,2026-01-21 12:18:00+05:30,2026-01-21 12:20:00+05:30,2,65,2,130,2,254.65,193.5,97.5,128.8,262.75,196.3,96.1,130.05,92.45,100.4,-8.2,0.97,1033.5,399.2,634.3,Revert
20260121,"(-2,+1)",150,-2,1,2026-01-21 12:18:00+05:30,2026-01-21 12:20:00+05:30,2,65,2,130,1,254.65,164.6,97.5,150.0,262.75,167.7,96.1,150.55,142.55,149.5,-8.0,0.15,903.5,396.67,506.83,Revert
20260121,"(+1,+3)",100,1,3,2026-01-21 13:14:00+05:30,2026-01-21 13:22:00+05:30,8,65,2,130,6,213.4,149.15,129.2,176.35,195.8,139.45,141.725,186.85,111.4,101.475,11.93,0.85,1290.25,395.12,895.13,Revert
20260121,"(+0,+3)",150,0,3,2026-01-21 13:14:00+05:30,2026-01-21 13:22:00+05:30,8,65,2,130,5,246.4,149.15,112.6,176.35,227.525,139.45,124.0,186.85,161.0,150.925,11.52,0.27,1309.75,399.82,909.93,Revert
20260121,"(-2,+3)",250,-2,3,2026-01-21 13:14:00+05:30,2026-01-21 13:22:00+05:30,8,65,2,130,4,319.15,149.15,86.2,176.35,298.75,139.45,94.45,186.85,260.15,251.7,10.85,0.95,1098.5,413.24,685.26,Revert
20260121,"(-3,+3)",300,-3,3,2026-01-21 13:14:00+05:30,2026-01-21 13:22:00+05:30,8,65,2,130,3,357.95,149.15,75.7,176.35,336.9,139.45,82.8,186.85,309.45,301.5,10.17,0.67,1033.5,421.64,611.86,Revert
20260121,"(-1,+3)",200,-1,3,2026-01-21 13:14:00+05:30,2026-01-21 13:22:00+05:30,8,65,2,130,2,280.35,149.15,98.9,176.35,261.95,139.45,107.85,186.85,208.65,201.5,9.3,0.8,929.5,405.48,524.02,Revert
