date,opt_type,strike,entry_time,exit_time,opt_entry,opt_exit,sl_level,lot_size,gross_pnl,charges,pnl,exit_reason,month
20251110,CE,25500,2025-11-10 10:05:00+05:30,2025-11-10 10:16:25.047000+05:30,116.7,141.9,141.21,75,-1890.0,68.81,-1958.81,SL-Trail,2025-11
20251110,CE,25500,2025-11-10 10:50:00+05:30,2025-11-10 11:00:36.068000+05:30,143.85,159.5,159.06,75,-1173.75,73.32,-1247.07,SL-Trail,2025-11
20251110,CE,25500,2025-11-10 11:40:00+05:30,2025-11-10 12:24:09.773000+05:30,168.35,166.7,166.31,75,123.75,77.1,46.65,SL-Trail,2025-11
20251110,CE,25500,2025-11-10 13:05:00+05:30,2025-11-10 13:24:56.831000+05:30,167.75,166.85,166.63,75,67.5,77.01,-9.51,SL-Trail,2025-11
20251110,CE,25500,2025-11-10 13:45:00+05:30,2025-11-10 14:21:55.038000+05:30,138.25,164.7,164.43,75,-1983.75,72.69,-2056.44,SL-Trail,2025-11
20251110,CE,25500,2025-11-10 14:40:00+05:30,2025-11-10 14:55:27.108000+05:30,160.55,151.5,151.2,75,678.75,75.46,603.29,SL-Trail,2025-11
20251110,CE,25500,2025-11-10 15:10:00+05:30,2025-11-10 15:25:00+05:30,141.25,135.0,149.0,75,468.75,72.12,396.63,EOD,2025-11
20251111,CE,25550,2025-11-11 14:15:00+05:30,2025-11-11 14:19:43.729000+05:30,96.9,131.15,129.95,75,-2568.75,65.6,-2634.35,SL-Trail,2025-11
20251111,PE,25550,2025-11-11 10:10:00+05:30,2025-11-11 10:33:00.337000+05:30,50.9,87.0,85.73,75,-2707.5,57.48,-2764.98,SL-Trail,2025-11
20251111,PE,25550,2025-11-11 11:00:00+05:30,2025-11-11 12:12:15.143000+05:30,79.35,44.1,44.04,75,2643.75,60.12,2583.63,SL-Trail,2025-11
20251112,CE,25700,2025-11-12 10:05:00+05:30,2025-11-12 10:16:53.907000+05:30,257.9,268.5,268.27,75,-795.0,93.44,-888.44,SL-Trail,2025-11
