date,opt_type,strike,entry_time,exit_time,opt_entry,opt_exit,max_price,lot_size,gross_pnl,charges,pnl,exit_reason,month
20251110,CE,25500,2025-11-10 14:25:01.545000+05:30,2025-11-10 15:01:00.597000+05:30,168.35,145.95,170.95,75,-1680.0,73.92,-1753.92,Flip,2025-11
20251112,PE,25700,2025-11-12 13:33:00.607000+05:30,2025-11-12 15:25:59.926000+05:30,52.9,55.85,57.6,75,221.25,57.04,164.21,EOD,2025-11
20251113,CE,25850,2025-11-13 13:24:00.805000+05:30,2025-11-13 13:57:00.075000+05:30,236.5,220.55,256.9,75,-1196.25,86.98,-1283.23,Flip,2025-11
20251113,PE,25850,2025-11-13 12:37:01.241000+05:30,2025-11-13 13:03:01.054000+05:30,72.9,64.25,79.15,75,-648.75,58.92,-707.67,Flip,2025-11
20251113,PE,25850,2025-11-13 13:57:00.087000+05:30,2025-11-13 14:13:06.600000+05:30,69.25,112.95,112.95,75,3277.5,65.82,3211.68,DPT,2025-11
20251114,CE,25900,2025-11-14 10:55:00.510000+05:30,2025-11-14 11:34:00.304000+05:30,120.8,87.4,128.8,75,-2505.0,63.88,-2568.88,Flip,2025-11
20251114,CE,25900,2025-11-14 15:01:00.480000+05:30,2025-11-14 15:25:59.767000+05:30,94.2,121.5,127.9,75,2047.5,67.89,1979.61,EOD,2025-11
20251114,PE,25900,2025-11-14 11:34:00.314000+05:30,2025-11-14 13:54:29.988000+05:30,152.95,188.0,188.0,75,2628.75,79.46,2549.29,DPT,2025-11
20251117,CE,25900,2025-11-17 11:57:00.366000+05:30,2025-11-17 14:45:00.226000+05:30,132.7,122.6,160.1,75,-757.5,69.35,-826.85,Flip,2025-11
20251118,PE,26000,2025-11-18 12:28:00.668000+05:30,2025-11-18 13:16:00.320000+05:30,69.9,49.6,84.2,75,-1522.5,56.71,-1579.21,Flip,2025-11
20251119,CE,25900,2025-11-19 11:42:00.684000+05:30,2025-11-19 12:15:10.138000+05:30,191.55,227.95,227.95,75,2730.0,86.52,2643.48,DPT,2025-11
