date,entry_time,exit_time,side,opt_type,strike,atm_offset,opt_entry,opt_exit,gross_pnl,charges,pnl,exit_reason,month
20251110,2025-11-10 11:50:00+05:30,2025-11-10 12:30:00+05:30,SHORT,CE,25500.0,0,164.2,165.05,-63.750000000001705,76.44,-140.1900000000017,SL,2025-11
20251110,2025-11-10 13:05:00+05:30,2025-11-10 13:25:00+05:30,SHORT,CE,25500.0,0,161.0,167.35,-476.24999999999955,76.06,-552.3099999999995,SL,2025-11
20251110,2025-11-10 14:45:00+05:30,2025-11-10 15:25:00+05:30,SHORT,CE,25500.0,0,149.85,135.0,1113.7499999999995,73.36,1040.3899999999996,EOD,2025-11
20251111,2025-11-11 11:40:00+05:30,2025-11-11 15:25:00+05:30,SHORT,PE,25550.0,0,68.9,0.05,5163.750000000001,57.13,5106.620000000001,EOD,2025-11
20251112,2025-11-12 10:15:00+05:30,2025-11-12 10:25:00+05:30,SHORT,CE,25700.0,0,252.4,256.65,-318.74999999999784,92.25,-410.99999999999784,SL,2025-11
20251112,2025-11-12 12:15:00+05:30,2025-11-12 12:20:00+05:30,SHORT,CE,25700.0,0,285.75,287.55,-135.00000000000085,98.1,-233.10000000000085,SL,2025-11
20251112,2025-11-12 13:30:00+05:30,2025-11-12 13:35:00+05:30,SHORT,CE,25700.0,0,305.65,308.05,-180.00000000000256,101.66,-281.6600000000026,SL,2025-11
20251112,2025-11-12 14:05:00+05:30,2025-11-12 15:25:00+05:30,SHORT,CE,25700.0,0,292.3,286.0,472.50000000000085,98.99,373.51000000000084,EOD,2025-11
20251112,2025-11-12 10:30:00+05:30,2025-11-12 15:25:00+05:30,SHORT,PE,25700.0,0,63.25,55.3,596.2500000000002,58.18,538.0700000000003,EOD,2025-11
20251113,2025-11-13 12:35:00+05:30,2025-11-13 12:55:00+05:30,SHORT,CE,25850.0,0,205.35,220.85,-1162.5,84.26,-1246.76,SL,2025-11
20251113,2025-11-13 13:55:00+05:30,2025-11-13 15:25:00+05:30,SHORT,CE,25850.0,0,191.6,170.75,1563.7499999999995,80.58,1483.1699999999996,EOD,2025-11
20251113,2025-11-13 10:10:00+05:30,2025-11-13 14:00:00+05:30,SHORT,PE,25850.0,0,84.35,85.15,-60.00000000000085,62.23,-122.23000000000084,SL,2025-11
20251114,2025-11-14 11:30:00+05:30,2025-11-14 12:10:00+05:30,SHORT,CE,25900.0,0,96.4,99.8,-254.99999999999937,64.47,-319.46999999999935,SL,2025-11
