date,opt_type,strike,entry_time,exit_time,opt_entry,opt_exit,lot_size,gross_pnl,charges,pnl,exit_reason,month
20251110,CE,25500,2025-11-10 10:50:00.919000+05:30,2025-11-10 10:55:00.007000+05:30,143.85,151.65,75,-585.0,73.06,-658.06,MidExit,2025-11
20251110,CE,25500,2025-11-10 11:50:00.378000+05:30,2025-11-10 12:01:13.401000+05:30,164.95,161.35,75,270.0,76.42,193.58,MidExit,2025-11
20251110,CE,25500,2025-11-10 13:05:01.253000+05:30,2025-11-10 13:11:58.673000+05:30,167.75,165.55,75,165.0,76.97,88.03,MidExit,2025-11
20251110,CE,25500,2025-11-10 13:15:01.320000+05:30,2025-11-10 13:22:29.205000+05:30,159.05,162.35,75,-247.5,75.61,-323.11,MidExit,2025-11
20251110,CE,25500,2025-11-10 13:45:01.447000+05:30,2025-11-10 13:50:00.934000+05:30,138.25,149.6,75,-851.25,72.18,-923.43,MidExit,2025-11
20251110,CE,25500,2025-11-10 14:45:00.038000+05:30,2025-11-10 14:50:02.893000+05:30,150.65,152.15,75,-112.5,74.05,-186.55,MidExit,2025-11
20251110,CE,25500,2025-11-10 14:57:01.645000+05:30,2025-11-10 15:00:01.630000+05:30,146.0,150.3,75,-322.5,73.32,-395.82,MidExit,2025-11
20251110,CE,25500,2025-11-10 15:05:02.901000+05:30,2025-11-10 15:15:12.281000+05:30,144.0,137.0,75,525.0,72.58,452.42,MidExit,2025-11
20251111,PE,25550,2025-11-11 11:10:00.149000+05:30,2025-11-11 11:15:00.029000+05:30,79.1,84.4,75,-397.5,61.45,-458.95,MidExit,2025-11
20251111,PE,25550,2025-11-11 11:40:00.119000+05:30,2025-11-11 11:51:14.930000+05:30,76.6,64.7,75,892.5,60.43,832.07,MidExit,2025-11
20251112,CE,25700,2025-11-12 10:15:00.875000+05:30,2025-11-12 10:25:00.345000+05:30,256.75,254.1,75,198.75,92.79,105.96,MidExit,2025-11
20251112,CE,25700,2025-11-12 12:15:00.471000+05:30,2025-11-12 12:20:44.254000+05:30,287.55,289.2,75,-123.75,98.41,-222.16,MidExit,2025-11
20251112,CE,25700,2025-11-12 13:30:00.593000+05:30,2025-11-12 13:35:00.434000+05:30,307.5,305.65,75,138.75,101.85,36.9,MidExit,2025-11
20251112,CE,25700,2025-11-12 14:05:00.780000+05:30,2025-11-12 14:11:05.988000+05:30,303.95,298.0,75,446.25,101.08,345.17,MidExit,2025-11
20251112,CE,25700,2025-11-12 14:20:01.199000+05:30,2025-11-12 14:25:00.098000+05:30,291.2,284.9,75,472.5,98.79,373.71,MidExit,2025-11
20251112,CE,25700,2025-11-12 15:15:00.176000+05:30,2025-11-12 15:20:01.536000+05:30,290.4,289.1,75,97.5,98.82,-1.32,MidExit,2025-11
20251112,PE,25700,2025-11-12 10:30:00.802000+05:30,2025-11-12 10:35:31.904000+05:30,66.85,65.65,75,90.0,59.05,30.95,MidExit,2025-11
20251112,PE,25700,2025-11-12 10:40:00.256000+05:30,2025-11-12 10:45:35.014000+05:30,59.45,58.95,75,37.5,57.76,-20.26,MidExit,2025-11
20251112,PE,25700,2025-11-12 10:50:00.821000+05:30,2025-11-12 10:55:18.349000+05:30,57.45,57.7,75,-18.75,57.43,-76.18,MidExit,2025-11
20251112,PE,25700,2025-11-12 11:10:00.147000+05:30,2025-11-12 11:15:03.320000+05:30,56.5,56.95,75,-33.75,57.27,-91.02,MidExit,2025-11
20251112,PE,25700,2025-11-12 11:25:00.201000+05:30,2025-11-12 11:30:00.243000+05:30,55.7,56.95,75,-93.75,57.15,-150.9,MidExit,2025-11
20251112,PE,25700,2025-11-12 11:35:00.138000+05:30,2025-11-12 11:40:01.205000+05:30,53.5,55.2,75,-127.5,56.78,-184.28,MidExit,2025-11
20251112,PE,25700,2025-11-12 12:10:00.404000+05:30,2025-11-12 12:15:00.462000+05:30,53.85,56.3,75,-183.75,56.86,-240.61,MidExit,2025-11
20251112,PE,25700,2025-11-12 12:30:00.822000+05:30,2025-11-12 12:45:07.882000+05:30,53.1,48.2,75,367.5,56.48,311.02,MidExit,2025-11
20251112,PE,25700,2025-11-12 14:55:00.724000+05:30,2025-11-12 15:00:01.200000+05:30,52.2,52.0,75,15.0,56.48,-41.48,MidExit,2025-11
20251113,CE,25850,2025-11-13 11:35:00.083000+05:30,2025-11-13 11:40:00.975000+05:30,217.5,229.5,75,-900.0,86.3,-986.3,MidExit,2025-11
