date,opt_type,strike,entry_time,exit_time,opt_entry,opt_exit,initial_sl,final_sl,lot_size,gross_pnl,charges,pnl,exit_reason,month
20251110,CE,25500.0,2025-11-10 11:50:00+05:30,2025-11-10 12:40:00+05:30,164.2,174.95,174.95,174.95,75,-806.25,76.78,-883.03,SL,2025-11
20251110,CE,25500.0,2025-11-10 13:05:00+05:30,2025-11-10 15:25:00+05:30,161.0,135.0,170.6,170.6,75,1950.0,74.96,1875.04,EOD,2025-11
20251111,PE,25550.0,2025-11-11 11:40:00+05:30,2025-11-11 15:25:00+05:30,68.9,0.05,78.6,78.6,75,5163.750000000001,57.13,5106.620000000001,EOD,2025-11
20251112,CE,25700.0,2025-11-12 10:15:00+05:30,2025-11-12 10:30:00+05:30,252.4,268.5,268.5,268.5,75,-1207.4999999999995,92.65,-1300.1499999999996,SL,2025-11
20251112,CE,25700.0,2025-11-12 12:15:00+05:30,2025-11-12 12:20:00+05:30,285.75,290.1,290.1,290.1,75,-326.2500000000017,98.19,-424.4400000000017,SL,2025-11
20251112,CE,25700.0,2025-11-12 13:30:00+05:30,2025-11-12 13:35:00+05:30,305.65,308.15,308.15,308.15,75,-187.5,101.66,-289.15999999999997,SL,2025-11
20251112,CE,25700.0,2025-11-12 14:05:00+05:30,2025-11-12 15:25:00+05:30,292.3,286.0,305.95,305.95,75,472.50000000000085,98.99,373.51000000000084,EOD,2025-11
20251112,PE,25700.0,2025-11-12 10:30:00+05:30,2025-11-12 15:25:00+05:30,63.25,55.3,70.0,70.0,75,596.2500000000002,58.18,538.0700000000003,EOD,2025-11
20251113,CE,25850.0,2025-11-13 12:35:00+05:30,2025-11-13 13:00:00+05:30,205.35,223.0,223.0,223.0,75,-1323.7500000000005,84.33,-1408.0800000000004,SL,2025-11
20251113,CE,25850.0,2025-11-13 13:55:00+05:30,2025-11-13 15:25:00+05:30,191.6,170.75,229.8,229.8,75,1563.7499999999995,80.58,1483.1699999999996,EOD,2025-11
20251113,PE,25850.0,2025-11-13 10:10:00+05:30,2025-11-13 14:00:00+05:30,84.35,88.2,88.2,88.2,75,-288.7500000000006,62.34,-351.0900000000006,SL,2025-11
20251114,CE,25900.0,2025-11-14 11:30:00+05:30,2025-11-14 12:10:00+05:30,96.4,105.05,105.05,105.05,75,-648.7499999999993,64.64,-713.3899999999993,SL,2025-11
20251114,CE,25900.0,2025-11-14 12:35:00+05:30,2025-11-14 12:45:00+05:30,89.6,95.15,95.15,95.15,75,-416.25000000000085,63.33,-479.58000000000084,SL,2025-11
