date,strike,entry_time,ce_entry,pe_entry,total_premium,sl_level,sl_leg,ce_exit,pe_exit,ce_exit_time,pe_exit_time,ce_reason,pe_reason,lot_size,ce_gross,pe_gross,gross_pnl,charges,pnl,month
20251110,25500,2025-11-10 09:30:00.915000+05:30,116.75,51.4,168.15,168.15,CE,168.45,24.1,2025-11-10 11:03:29.380000+05:30,2025-11-10 15:14:59.263000+05:30,SL,EOD,75,-3877.5,2047.5,-1830.0,125.14,-1955.14,2025-11
20251111,25550,2025-11-11 09:30:00.149000+05:30,46.25,64.1,110.35,110.35,PE,141.3,112.75,2025-11-11 15:14:59.467000+05:30,2025-11-11 10:36:51.717000+05:30,EOD,SL,75,-7128.75,-3648.75,-10777.5,118.89,-10896.39,2025-11
20251112,25700,2025-11-12 09:30:01.542000+05:30,248.9,80.45,329.35,329.35,None,290.35,53.45,2025-11-12 15:14:59.461000+05:30,2025-11-12 15:14:59.450000+05:30,EOD,EOD,75,-3108.75,2025.0,-1083.75,153.48,-1237.23,2025-11
20251113,25850,2025-11-13 09:30:01.446000+05:30,165.55,99.1,264.65,264.65,None,167.55,108.75,2025-11-13 15:14:59.276000+05:30,2025-11-13 15:14:59.977000+05:30,EOD,EOD,75,-150.0,-723.75,-873.75,141.88,-1015.63,2025-11
20251114,25900,2025-11-14 09:30:01.301000+05:30,112.35,141.65,254.0,254.0,None,124.5,87.9,2025-11-14 15:14:59.549000+05:30,2025-11-14 15:14:59.561000+05:30,EOD,EOD,75,-911.25,4031.25,3120.0,138.18,2981.82,2025-11
20251117,25900,2025-11-17 09:30:00.826000+05:30,140.8,44.75,185.55,185.55,None,138.35,27.1,2025-11-17 15:14:59.690000+05:30,2025-11-17 15:14:59.677000+05:30,EOD,EOD,75,183.75,1323.75,1507.5,126.73,1380.77,2025-11
20251118,26000,2025-11-18 09:30:00.792000+05:30,36.1,81.4,117.5,117.5,PE,0.05,117.9,2025-11-18 15:14:59.962000+05:30,2025-11-18 09:59:54.441000+05:30,EOD,SL,75,2703.75,-2737.5,-33.75,115.32,-149.07,2025-11
20251119,25900,2025-11-19 09:30:00.969000+05:30,166.6,132.9,299.5,299.5,None,249.9,78.2,2025-11-19 15:14:59.111000+05:30,2025-11-19 15:14:59.101000+05:30,EOD,EOD,75,-6247.5,4102.5,-2145.0,148.65,-2293.65,2025-11
20251120,26050,2025-11-20 09:30:01.316000+05:30,171.15,98.85,270.0,270.0,None,232.8,57.35,2025-11-20 15:14:59.407000+05:30,2025-11-20 15:14:59.293000+05:30,EOD,EOD,75,-4623.75,3112.5,-1511.25,143.12,-1654.37,2025-11
20251121,26200,2025-11-21 09:30:00.980000+05:30,100.25,129.45,229.7,229.7,None,55.15,172.4,2025-11-21 15:14:59.861000+05:30,2025-11-21 15:14:59.851000+05:30,EOD,EOD,75,3382.5,-3221.25,161.25,135.19,26.06,2025-11
20251124,26750,2025-11-24 09:30:01.225000+05:30,1.5,620.95,622.45,622.45,PE,1.5,645.7,2025-11-24 15:14:59.883000+05:30,2025-11-24 09:38:58.075000+05:30,EOD,SL,75,0.0,-1856.25,-1856.25,205.98,-2062.23,2025-11
20251125,25950,2025-11-25 09:30:00.662000+05:30,56.85,47.75,104.6,104.6,CE,105.5,64.5,2025-11-25 10:11:21.612000+05:30,2025-11-25 15:14:59.353000+05:30,SL,EOD,75,-3648.75,-1256.25,-4905.0,115.22,-5020.22,2025-11
20251126,25850,2025-11-26 09:30:00.018000+05:30,252.9,62.3,315.2,315.2,CE,316.5,31.55,2025-11-26 09:50:01.904000+05:30,2025-11-26 15:14:59.309000+05:30,SL,EOD,75,-4770.0,2306.25,-2463.75,151.59,-2615.34,2025-11
