date,opt_type,direction,strike,entry_time,exit_time,opt_entry,opt_exit,lot_size,gross_pnl,charges,pnl,exit_reason,month
20251110,CE,SHORT,25500,2025-11-10 13:44:00+05:30,2025-11-10 14:25:01.545000+05:30,150.6,168.35,75,-1331.25,74.59,-1405.84,Flip,2025-11
20251110,CE,LONG,25500,2025-11-10 14:25:01.545000+05:30,2025-11-10 15:01:00.597000+05:30,168.35,145.95,75,-1680.0,73.92,-1753.92,Flip,2025-11
20251110,CE,SHORT,25500,2025-11-10 15:01:00.597000+05:30,2025-11-10 15:25:59.110000+05:30,145.95,137.55,75,630.0,72.88,557.12,EOD,2025-11
20251111,PE,SHORT,25550,2025-11-11 11:47:00.454000+05:30,2025-11-11 15:25:58.847000+05:30,66.85,0.05,75,5010.0,56.83,4953.17,EOD,2025-11
20251112,CE,SHORT,25700,2025-11-12 13:33:00.597000+05:30,2025-11-12 15:25:59.903000+05:30,295.35,283.05,75,922.5,99.33,823.17,EOD,2025-11
20251112,PE,SHORT,25700,2025-11-12 11:09:00.448000+05:30,2025-11-12 13:33:00.607000+05:30,56.1,52.9,75,240.0,57.07,182.93,Flip,2025-11
20251112,PE,LONG,25700,2025-11-12 13:33:00.607000+05:30,2025-11-12 15:25:59.926000+05:30,52.9,55.85,75,221.25,57.04,164.21,EOD,2025-11
20251113,CE,SHORT,25850,2025-11-13 12:37:01.253000+05:30,2025-11-13 13:24:00.805000+05:30,209.5,236.5,75,-2025.0,85.39,-2110.39,Flip,2025-11
20251113,CE,LONG,25850,2025-11-13 13:24:00.805000+05:30,2025-11-13 13:57:00.075000+05:30,236.5,220.55,75,-1196.25,86.98,-1283.23,Flip,2025-11
20251113,CE,SHORT,25850,2025-11-13 13:57:00.075000+05:30,2025-11-13 15:25:59.481000+05:30,220.55,172.0,75,3641.25,84.8,3556.45,EOD,2025-11
20251113,PE,SHORT,25850,2025-11-13 10:45:00.234000+05:30,2025-11-13 12:37:01.241000+05:30,75.3,72.9,75,180.0,60.52,119.48,Flip,2025-11
20251113,PE,LONG,25850,2025-11-13 12:37:01.241000+05:30,2025-11-13 13:03:01.054000+05:30,72.9,64.25,75,-648.75,58.92,-707.67,Flip,2025-11
20251113,PE,SHORT,25850,2025-11-13 13:03:01.054000+05:30,2025-11-13 13:57:00.087000+05:30,64.25,69.25,75,-375.0,58.8,-433.8,Flip,2025-11
20251113,PE,LONG,25850,2025-11-13 13:57:00.087000+05:30,2025-11-13 15:25:59.469000+05:30,69.25,110.95,75,3127.5,65.53,3061.97,EOD,2025-11
20251114,CE,SHORT,25900,2025-11-14 10:42:00.092000+05:30,2025-11-14 10:55:00.510000+05:30,82.65,120.8,75,-2861.25,63.2,-2924.45,Flip,2025-11
20251114,CE,LONG,25900,2025-11-14 10:55:00.510000+05:30,2025-11-14 11:34:00.304000+05:30,120.8,87.4,75,-2505.0,63.88,-2568.88,Flip,2025-11
20251114,CE,SHORT,25900,2025-11-14 11:34:00.304000+05:30,2025-11-14 15:01:00.480000+05:30,87.4,94.2,75,-510.0,62.98,-572.98,Flip,2025-11
20251114,CE,LONG,25900,2025-11-14 15:01:00.480000+05:30,2025-11-14 15:25:59.767000+05:30,94.2,121.5,75,2047.5,67.89,1979.61,EOD,2025-11
20251114,PE,SHORT,25900,2025-11-14 10:55:00.520000+05:30,2025-11-14 11:34:00.314000+05:30,125.25,152.95,75,-2077.5,70.42,-2147.92,Flip,2025-11
20251114,PE,LONG,25900,2025-11-14 11:34:00.314000+05:30,2025-11-14 15:01:00.468000+05:30,152.95,120.25,75,-2452.5,69.7,-2522.2,Flip,2025-11
20251114,PE,SHORT,25900,2025-11-14 15:01:00.468000+05:30,2025-11-14 15:25:59.777000+05:30,120.25,86.4,75,2538.75,67.45,2471.3,EOD,2025-11
20251117,CE,SHORT,25900,2025-11-17 10:41:00.668000+05:30,2025-11-17 11:57:00.366000+05:30,106.55,132.7,75,-1961.25,67.04,-2028.29,Flip,2025-11
20251117,CE,LONG,25900,2025-11-17 11:57:00.366000+05:30,2025-11-17 14:45:00.226000+05:30,132.7,122.6,75,-757.5,69.35,-826.85,Flip,2025-11
20251117,CE,SHORT,25900,2025-11-17 14:45:00.226000+05:30,2025-11-17 15:25:59.541000+05:30,122.6,139.2,75,-1245.0,69.57,-1314.57,EOD,2025-11
20251118,PE,SHORT,26000,2025-11-18 10:57:01.161000+05:30,2025-11-18 12:28:00.668000+05:30,84.8,69.9,75,1117.5,61.78,1055.72,Flip,2025-11
20251118,PE,LONG,26000,2025-11-18 12:28:00.668000+05:30,2025-11-18 13:16:00.320000+05:30,69.9,49.6,75,-1522.5,56.71,-1579.21,Flip,2025-11
20251119,CE,SHORT,25900,2025-11-19 11:11:00.901000+05:30,2025-11-19 11:42:00.684000+05:30,166.45,191.55,75,-1882.5,77.66,-1960.16,Flip,2025-11
20251119,CE,LONG,25900,2025-11-19 11:42:00.684000+05:30,2025-11-19 15:25:58.950000+05:30,191.55,248.0,75,4233.75,89.41,4144.34,EOD,2025-11
20251119,PE,SHORT,25900,2025-11-19 10:15:00.191000+05:30,2025-11-19 11:11:00.891000+05:30,105.7,118.75,75,-978.75,66.45,-1045.2,Flip,2025-11
20251119,PE,LONG,25900,2025-11-19 11:11:00.891000+05:30,2025-11-19 11:39:00.239000+05:30,118.75,105.2,75,-1016.25,66.37,-1082.62,Flip,2025-11
20251119,PE,SHORT,25900,2025-11-19 11:39:00.239000+05:30,2025-11-19 15:25:58.941000+05:30,105.2,79.8,75,1905.0,65.06,1839.94,EOD,2025-11
20251120,CE,SHORT,26050,2025-11-20 14:32:00.526000+05:30,2025-11-20 15:25:58.713000+05:30,238.7,235.4,75,247.5,89.56,157.94,EOD,2025-11
20251120,PE,SHORT,26050,2025-11-20 10:41:00.358000+05:30,2025-11-20 14:33:00.442000+05:30,84.5,59.9,75,1845.0,61.4,1783.6,Flip,2025-11
20251120,PE,LONG,26050,2025-11-20 14:33:00.442000+05:30,2025-11-20 15:25:58.660000+05:30,59.9,53.25,75,-498.75,56.9,-555.65,EOD,2025-11
20251121,CE,SHORT,26200,2025-11-21 10:35:00.765000+05:30,2025-11-21 12:13:00.837000+05:30,59.85,76.65,75,-1260.0,58.42,-1318.42,Flip,2025-11
20251121,CE,LONG,26200,2025-11-21 12:13:00.837000+05:30,2025-11-21 13:15:01.191000+05:30,76.65,77.5,75,63.75,60.96,2.79,Flip,2025-11
20251121,CE,SHORT,26200,2025-11-21 13:15:01.191000+05:30,2025-11-21 14:10:00.220000+05:30,77.5,83.4,75,-442.5,61.19,-503.69,Flip,2025-11
20251121,CE,LONG,26200,2025-11-21 14:10:00.220000+05:30,2025-11-21 14:48:00.605000+05:30,83.4,68.5,75,-1117.5,59.89,-1177.39,Flip,2025-11
20251121,CE,SHORT,26200,2025-11-21 14:48:00.605000+05:30,2025-11-21 15:25:58.782000+05:30,68.5,52.75,75,1181.25,58.85,1122.4,EOD,2025-11
20251121,PE,SHORT,26200,2025-11-21 11:29:00.709000+05:30,2025-11-21 13:15:01.200000+05:30,148.65,130.25,75,1380.0,73.02,1306.98,Flip,2025-11
20251121,PE,LONG,26200,2025-11-21 13:15:01.200000+05:30,2025-11-21 14:10:00.229000+05:30,130.25,118.45,75,-885.0,68.67,-953.67,Flip,2025-11
20251121,PE,SHORT,26200,2025-11-21 14:10:00.229000+05:30,2025-11-21 14:45:00.525000+05:30,118.45,136.15,75,-1327.5,68.87,-1396.37,Flip,2025-11
20251121,PE,LONG,26200,2025-11-21 14:45:00.525000+05:30,2025-11-21 15:25:58.792000+05:30,136.15,172.85,75,2752.5,76.71,2675.79,EOD,2025-11
20251124,PE,SHORT,26750,2025-11-24 10:02:00.580000+05:30,2025-11-24 10:56:01.289000+05:30,631.85,615.9,75,1196.25,159.07,1037.18,Flip,2025-11
20251124,PE,LONG,26750,2025-11-24 10:56:01.289000+05:30,2025-11-24 11:31:01.135000+05:30,615.9,605.85,75,-753.75,155.33,-909.08,Flip,2025-11
20251124,PE,SHORT,26750,2025-11-24 11:31:01.135000+05:30,2025-11-24 11:51:00.325000+05:30,605.85,631.25,75,-1905.0,155.85,-2060.85,Flip,2025-11
20251124,PE,LONG,26750,2025-11-24 11:51:00.325000+05:30,2025-11-24 12:37:01.413000+05:30,631.25,645.55,75,1072.5,161.57,910.93,Flip,2025-11
20251124,PE,SHORT,26750,2025-11-24 12:37:01.413000+05:30,2025-11-24 12:55:00.323000+05:30,645.55,654.25,75,-652.5,162.35,-814.85,Flip,2025-11
20251124,PE,LONG,26750,2025-11-24 12:55:00.323000+05:30,2025-11-24 14:46:00.208000+05:30,654.25,701.0,75,3506.25,170.33,3335.92,Flip,2025-11
20251124,PE,SHORT,26750,2025-11-24 14:46:00.208000+05:30,2025-11-24 14:54:00.845000+05:30,701.0,708.75,75,-581.25,172.18,-753.43,Flip,2025-11
20251124,PE,LONG,26750,2025-11-24 14:54:00.845000+05:30,2025-11-24 15:25:59.838000+05:30,708.75,769.35,75,4545.0,182.03,4362.97,EOD,2025-11
20251125,CE,SHORT,25950,2025-11-25 10:55:00.465000+05:30,2025-11-25 11:57:00.915000+05:30,59.35,58.3,75,78.75,57.72,21.03,Flip,2025-11
20251125,CE,LONG,25950,2025-11-25 11:57:00.915000+05:30,2025-11-25 14:28:00.770000+05:30,58.3,32.15,75,-1961.25,53.8,-2015.05,Flip,2025-11
20251126,CE,SHORT,25850,2025-11-26 13:30:00.813000+05:30,2025-11-26 14:04:01.156000+05:30,387.55,422.45,75,-2617.5,117.33,-2734.83,Flip,2025-11
20251126,CE,LONG,25850,2025-11-26 14:04:01.156000+05:30,2025-11-26 14:36:00.337000+05:30,422.45,391.5,75,-2321.25,117.9,-2439.15,Flip,2025-11
20251126,CE,SHORT,25850,2025-11-26 14:36:00.337000+05:30,2025-11-26 15:25:59.979000+05:30,391.5,408.6,75,-1282.5,117.43,-1399.93,EOD,2025-11
20251127,CE,SHORT,26200,2025-11-27 11:22:00.119000+05:30,2025-11-27 12:46:01.195000+05:30,173.1,159.3,75,1035.0,77.53,957.47,Flip,2025-11
20251127,CE,LONG,26200,2025-11-27 12:46:01.195000+05:30,2025-11-27 13:12:00.596000+05:30,159.3,122.55,75,-2756.25,70.25,-2826.5,Flip,2025-11
20251127,CE,SHORT,26200,2025-11-27 13:12:00.596000+05:30,2025-11-27 14:25:00.210000+05:30,122.55,125.45,75,-217.5,69.1,-286.6,Flip,2025-11
20251127,CE,LONG,26200,2025-11-27 14:25:00.210000+05:30,2025-11-27 15:25:59.166000+05:30,125.45,133.15,75,577.5,70.63,506.87,EOD,2025-11
20251127,PE,SHORT,26200,2025-11-27 10:51:00.276000+05:30,2025-11-27 11:33:00.258000+05:30,64.45,79.25,75,-1110.0,59.17,-1169.17,Flip,2025-11
20251127,PE,LONG,26200,2025-11-27 11:33:00.258000+05:30,2025-11-27 14:25:00.200000+05:30,79.25,98.2,75,1421.25,64.03,1357.22,Flip,2025-11
20251127,PE,SHORT,26200,2025-11-27 14:25:00.200000+05:30,2025-11-27 15:25:59.059000+05:30,98.2,84.3,75,1042.5,64.2,978.3,EOD,2025-11
20251128,CE,SHORT,26200,2025-11-28 12:05:01.119000+05:30,2025-11-28 15:25:59.333000+05:30,127.3,112.9,75,1080.0,69.36,1010.64,EOD,2025-11
20251128,PE,SHORT,26200,2025-11-28 13:32:01.228000+05:30,2025-11-28 13:53:01.363000+05:30,64.35,84.8,75,-1533.75,59.34,-1593.09,Flip,2025-11
20251128,PE,LONG,26200,2025-11-28 13:53:01.363000+05:30,2025-11-28 15:22:01.147000+05:30,84.8,66.0,75,-1410.0,59.58,-1469.58,Flip,2025-11
20251128,PE,SHORT,26200,2025-11-28 15:22:01.147000+05:30,2025-11-28 15:25:59.324000+05:30,66.0,66.1,75,-7.5,58.95,-66.45,EOD,2025-11
20251201,CE,SHORT,26200,2025-12-01 10:39:00.095000+05:30,2025-12-01 14:02:00.333000+05:30,125.05,74.75,75,3772.5,67.75,3704.75,Flip,2025-12
20251201,CE,LONG,26200,2025-12-01 14:02:00.333000+05:30,2025-12-01 14:45:01.180000+05:30,74.75,55.1,75,-1473.75,57.67,-1531.42,Flip,2025-12
20251201,CE,SHORT,26200,2025-12-01 14:45:01.180000+05:30,2025-12-01 15:25:59.976000+05:30,55.1,55.15,75,-3.75,57.0,-60.75,EOD,2025-12
20251201,PE,SHORT,26200,2025-12-01 13:44:00.826000+05:30,2025-12-01 14:45:01.170000+05:30,63.3,76.55,75,-993.75,58.91,-1052.66,Flip,2025-12
20251201,PE,LONG,26200,2025-12-01 14:45:01.170000+05:30,2025-12-01 15:25:59.994000+05:30,76.55,66.45,75,-757.5,59.36,-816.86,EOD,2025-12
20251202,PE,SHORT,26200,2025-12-02 10:51:00.397000+05:30,2025-12-02 11:42:00.578000+05:30,109.05,138.45,75,-2205.0,67.6,-2272.6,Flip,2025-12
20251202,PE,LONG,26200,2025-12-02 11:42:00.578000+05:30,2025-12-02 12:36:00.160000+05:30,138.45,109.45,75,-2175.0,67.65,-2242.65,Flip,2025-12
20251202,PE,SHORT,26200,2025-12-02 12:36:00.160000+05:30,2025-12-02 12:55:00.990000+05:30,109.45,152.2,75,-3206.25,68.12,-3274.37,Flip,2025-12
20251202,PE,LONG,26200,2025-12-02 12:55:00.990000+05:30,2025-12-02 15:25:58.865000+05:30,152.2,167.0,75,1110.0,76.41,1033.59,EOD,2025-12
20251203,CE,SHORT,26050,2025-12-03 10:06:00.849000+05:30,2025-12-03 11:40:00.904000+05:30,89.75,99.2,75,-708.75,63.49,-772.24,Flip,2025-12
20251203,CE,LONG,26050,2025-12-03 11:40:00.904000+05:30,2025-12-03 12:42:00.196000+05:30,99.2,90.1,75,-682.5,63.54,-746.04,Flip,2025-12
20251203,CE,SHORT,26050,2025-12-03 12:42:00.196000+05:30,2025-12-03 14:13:00.549000+05:30,90.1,95.15,75,-378.75,63.4,-442.15,Flip,2025-12
20251203,CE,LONG,26050,2025-12-03 14:13:00.549000+05:30,2025-12-03 15:25:58.906000+05:30,95.15,111.85,75,1252.5,66.53,1185.97,EOD,2025-12
20251203,PE,SHORT,26050,2025-12-03 11:39:00.027000+05:30,2025-12-03 12:43:00.297000+05:30,169.5,177.05,75,-566.25,77.61,-643.86,Flip,2025-12
20251203,PE,LONG,26050,2025-12-03 12:43:00.297000+05:30,2025-12-03 14:13:00.558000+05:30,177.05,157.6,75,-1458.75,75.9,-1534.65,Flip,2025-12
20251203,PE,SHORT,26050,2025-12-03 14:13:00.558000+05:30,2025-12-03 15:25:58.915000+05:30,157.6,134.25,75,1751.25,74.45,1676.8,EOD,2025-12
