date,opt_type,direction,strike,entry_time,exit_time,opt_entry,opt_exit,lot_size,gross_pnl,charges,pnl,exit_reason,month
20251110,CE,LONG,25500,2025-11-10 13:44:00+05:30,2025-11-10 14:25:01.545000+05:30,150.6,168.35,75,1331.25,76.55,1254.7,Flip,2025-11
20251110,CE,SHORT,25500,2025-11-10 14:25:01.545000+05:30,2025-11-10 15:01:00.597000+05:30,168.35,145.95,75,1680.0,76.39,1603.61,Flip,2025-11
20251110,CE,LONG,25500,2025-11-10 15:01:00.597000+05:30,2025-11-10 15:25:59.110000+05:30,145.95,137.55,75,-630.0,71.96,-701.96,EOD,2025-11
20251111,PE,LONG,25550,2025-11-11 11:47:00.454000+05:30,2025-11-11 15:25:58.847000+05:30,66.85,0.05,75,-5010.0,49.47,-5059.47,EOD,2025-11
20251112,CE,LONG,25700,2025-11-12 13:33:00.597000+05:30,2025-11-12 15:25:59.903000+05:30,295.35,283.05,75,-922.5,97.97,-1020.47,EOD,2025-11
20251112,PE,LONG,25700,2025-11-12 11:09:00.448000+05:30,2025-11-12 13:33:00.607000+05:30,56.1,52.9,75,-240.0,56.72,-296.72,Flip,2025-11
20251112,PE,SHORT,25700,2025-11-12 13:33:00.607000+05:30,2025-11-12 15:25:59.926000+05:30,52.9,55.85,75,-221.25,56.71,-277.96,EOD,2025-11
20251113,CE,LONG,25850,2025-11-13 12:37:01.253000+05:30,2025-11-13 13:24:00.805000+05:30,209.5,236.5,75,2025.0,88.36,1936.64,Flip,2025-11
20251113,CE,SHORT,25850,2025-11-13 13:24:00.805000+05:30,2025-11-13 13:57:00.075000+05:30,236.5,220.55,75,1196.25,88.74,1107.51,Flip,2025-11
20251113,CE,LONG,25850,2025-11-13 13:57:00.075000+05:30,2025-11-13 15:25:59.481000+05:30,220.55,172.0,75,-3641.25,79.44,-3720.69,EOD,2025-11
20251113,PE,LONG,25850,2025-11-13 10:45:00.234000+05:30,2025-11-13 12:37:01.241000+05:30,75.3,72.9,75,-180.0,60.25,-240.25,Flip,2025-11
20251113,PE,SHORT,25850,2025-11-13 12:37:01.241000+05:30,2025-11-13 13:03:01.054000+05:30,72.9,64.25,75,648.75,59.88,588.87,Flip,2025-11
20251113,PE,LONG,25850,2025-11-13 13:03:01.054000+05:30,2025-11-13 13:57:00.087000+05:30,64.25,69.25,75,375.0,59.35,315.65,Flip,2025-11
20251113,PE,SHORT,25850,2025-11-13 13:57:00.087000+05:30,2025-11-13 15:25:59.469000+05:30,69.25,110.95,75,-3127.5,60.93,-3188.43,EOD,2025-11
20251114,CE,LONG,25900,2025-11-14 10:42:00.092000+05:30,2025-11-14 10:55:00.510000+05:30,82.65,120.8,75,2861.25,67.4,2793.85,Flip,2025-11
20251114,CE,SHORT,25900,2025-11-14 10:55:00.510000+05:30,2025-11-14 11:34:00.304000+05:30,120.8,87.4,75,2505.0,67.56,2437.44,Flip,2025-11
20251114,CE,LONG,25900,2025-11-14 11:34:00.304000+05:30,2025-11-14 15:01:00.480000+05:30,87.4,94.2,75,510.0,63.73,446.27,Flip,2025-11
20251114,CE,SHORT,25900,2025-11-14 15:01:00.480000+05:30,2025-11-14 15:25:59.767000+05:30,94.2,121.5,75,-2047.5,64.88,-2112.38,EOD,2025-11
20251114,PE,LONG,25900,2025-11-14 10:55:00.520000+05:30,2025-11-14 11:34:00.314000+05:30,125.25,152.95,75,2077.5,73.47,2004.03,Flip,2025-11
