date,opt_type,strike,entry_time,exit_time,opt_entry,opt_exit,lot_size,gross_pnl,charges,pnl,exit_reason,month
20251110,CE,25500,2025-11-10 14:25:01.545000+05:30,2025-11-10 14:33:37.317000+05:30,168.35,160.0,75,-626.25,75.95,-702.2,Flip,2025-11
20251112,PE,25700,2025-11-12 13:33:00.607000+05:30,2025-11-12 13:34:40.398000+05:30,52.9,49.8,75,-232.5,56.16,-288.66,Flip,2025-11
20251113,CE,25850,2025-11-13 13:24:00.805000+05:30,2025-11-13 13:25:30.539000+05:30,236.5,227.0,75,-712.5,87.91,-800.41,Flip,2025-11
20251113,PE,25850,2025-11-13 12:37:01.241000+05:30,2025-11-13 12:50:35.094000+05:30,72.9,71.75,75,-86.25,60.0,-146.25,Flip,2025-11
20251113,PE,25850,2025-11-13 13:57:00.087000+05:30,2025-11-13 14:15:23.195000+05:30,69.25,98.1,75,2163.75,63.68,2100.07,Flip,2025-11
20251114,CE,25900,2025-11-14 10:55:00.510000+05:30,2025-11-14 11:04:10.609000+05:30,120.8,113.35,75,-558.75,67.62,-626.37,Flip,2025-11
20251114,CE,25900,2025-11-14 15:01:00.480000+05:30,2025-11-14 15:11:46.420000+05:30,94.2,105.2,75,825.0,65.54,759.46,Flip,2025-11
20251114,PE,25900,2025-11-14 11:34:00.314000+05:30,2025-11-14 11:47:29.547000+05:30,152.95,141.95,75,-825.0,72.83,-897.83,Flip,2025-11
20251117,CE,25900,2025-11-17 11:57:00.366000+05:30,2025-11-17 12:03:26.367000+05:30,132.7,128.0,75,-352.5,70.13,-422.63,Flip,2025-11
20251118,PE,26000,2025-11-18 12:28:00.668000+05:30,2025-11-18 12:28:57.367000+05:30,69.9,60.2,75,-727.5,58.24,-785.74,Flip,2025-11
20251119,CE,25900,2025-11-19 11:42:00.684000+05:30,2025-11-19 12:37:40.165000+05:30,191.55,231.4,75,2988.75,87.02,2901.73,Flip,2025-11
20251119,PE,25900,2025-11-19 11:11:00.891000+05:30,2025-11-19 11:18:23.174000+05:30,118.75,117.2,75,-116.25,68.1,-184.35,Flip,2025-11
20251120,PE,26050,2025-11-20 14:33:00.442000+05:30,2025-11-20 14:36:27.913000+05:30,59.9,56.75,75,-236.25,57.4,-293.65,Flip,2025-11
20251121,CE,26200,2025-11-21 12:13:00.837000+05:30,2025-11-21 12:32:11.644000+05:30,76.65,85.05,75,630.0,62.05,567.95,Flip,2025-11
20251121,CE,26200,2025-11-21 14:10:00.220000+05:30,2025-11-21 14:19:04.691000+05:30,83.4,82.65,75,-56.25,61.93,-118.18,Flip,2025-11
20251121,PE,26200,2025-11-21 13:15:01.200000+05:30,2025-11-21 13:35:47.691000+05:30,130.25,141.0,75,806.25,71.92,734.33,Flip,2025-11
20251121,PE,26200,2025-11-21 14:45:00.525000+05:30,2025-11-21 15:25:58.792000+05:30,136.15,172.85,75,2752.5,76.71,2675.79,EOD,2025-11
20251124,PE,26750,2025-11-24 10:56:01.289000+05:30,2025-11-24 11:20:31.163000+05:30,615.9,627.7,75,885.0,158.48,726.52,Flip,2025-11
20251124,PE,26750,2025-11-24 11:51:00.325000+05:30,2025-11-24 12:07:19.220000+05:30,631.25,653.4,75,1661.25,162.7,1498.55,Flip,2025-11
20251124,PE,26750,2025-11-24 12:55:00.323000+05:30,2025-11-24 14:45:00.780000+05:30,654.25,706.0,75,3881.25,171.06,3710.19,Flip,2025-11
20251124,PE,26750,2025-11-24 14:54:00.845000+05:30,2025-11-24 15:25:59.838000+05:30,708.75,769.35,75,4545.0,182.03,4362.97,EOD,2025-11
20251125,CE,25950,2025-11-25 11:57:00.915000+05:30,2025-11-25 12:12:18.276000+05:30,58.3,57.85,75,-33.75,57.51,-91.26,Flip,2025-11
20251126,CE,25850,2025-11-26 14:04:01.156000+05:30,2025-11-26 14:04:59.442000+05:30,422.45,410.9,75,-866.25,120.69,-986.94,Flip,2025-11
20251127,CE,26200,2025-11-27 12:46:01.195000+05:30,2025-11-27 12:53:28.098000+05:30,159.3,151.4,75,-592.5,74.4,-666.9,Flip,2025-11
20251127,CE,26200,2025-11-27 14:25:00.210000+05:30,2025-11-27 14:30:24.128000+05:30,125.45,124.5,75,-71.25,69.38,-140.63,Flip,2025-11
20251127,PE,26200,2025-11-27 11:33:00.258000+05:30,2025-11-27 11:43:50.835000+05:30,79.25,74.7,75,-341.25,60.64,-401.89,Flip,2025-11
20251128,PE,26200,2025-11-28 13:53:01.363000+05:30,2025-11-28 13:55:04.572000+05:30,84.8,75.1,75,-727.5,60.89,-788.39,Flip,2025-11
20251201,CE,26200,2025-12-01 14:02:00.333000+05:30,2025-12-01 14:10:58.217000+05:30,74.75,71.5,75,-243.75,60.03,-303.78,Flip,2025-12
20251201,PE,26200,2025-12-01 14:45:01.170000+05:30,2025-12-01 15:01:27.779000+05:30,76.55,78.25,75,127.5,61.06,66.44,Flip,2025-12
20251202,PE,26200,2025-12-02 11:42:00.578000+05:30,2025-12-02 11:49:50.466000+05:30,138.45,127.0,75,-858.75,70.18,-928.93,Flip,2025-12
20251202,PE,26200,2025-12-02 12:55:00.990000+05:30,2025-12-02 13:09:09.383000+05:30,152.2,145.65,75,-491.25,73.33,-564.58,Flip,2025-12
20251203,CE,26050,2025-12-03 11:40:00.904000+05:30,2025-12-03 11:43:19.122000+05:30,99.2,95.4,75,-285.0,64.3,-349.3,Flip,2025-12
20251203,CE,26050,2025-12-03 14:13:00.549000+05:30,2025-12-03 14:16:54.711000+05:30,95.15,91.2,75,-296.25,63.56,-359.81,Flip,2025-12
