date,opt_type,strike,entry_time,exit_time,opt_entry,opt_exit,lot_size,gross_pnl,charges,pnl,exit_reason,month
20251110,CE,25500,2025-11-10 13:44:00+05:30,2025-11-10 13:49:30.886000+05:30,150.6,148.65,75,146.25,73.93,72.32,Flip,2025-11
20251110,CE,25500,2025-11-10 15:01:00.597000+05:30,2025-11-10 15:15:42.270000+05:30,145.95,142.35,75,270.0,73.04,196.96,Flip,2025-11
20251111,PE,25550,2025-11-11 11:47:00.454000+05:30,2025-11-11 12:39:09.770000+05:30,66.85,23.95,75,3217.5,57.64,3159.86,Flip,2025-11
20251112,CE,25700,2025-11-12 13:33:00.597000+05:30,2025-11-12 13:38:35.922000+05:30,295.35,309.25,75,-1042.5,100.22,-1142.72,Flip,2025-11
20251112,PE,25700,2025-11-12 11:09:00.448000+05:30,2025-11-12 11:52:10.880000+05:30,56.1,55.8,75,22.5,57.17,-34.67,Flip,2025-11
20251113,CE,25850,2025-11-13 12:37:01.253000+05:30,2025-11-13 12:50:41.728000+05:30,209.5,215.0,75,-412.5,84.66,-497.16,Flip,2025-11
20251113,CE,25850,2025-11-13 13:57:00.075000+05:30,2025-11-13 14:16:10.978000+05:30,220.55,176.2,75,3326.25,84.94,3241.31,Flip,2025-11
20251113,PE,25850,2025-11-13 10:45:00.234000+05:30,2025-11-13 11:11:38.847000+05:30,75.3,65.45,75,738.75,60.26,678.49,Flip,2025-11
20251113,PE,25850,2025-11-13 13:03:01.054000+05:30,2025-11-13 13:18:37.045000+05:30,64.25,69.2,75,-371.25,58.8,-430.05,Flip,2025-11
20251114,CE,25900,2025-11-14 10:42:00.092000+05:30,2025-11-14 10:45:03.387000+05:30,82.65,91.9,75,-693.75,62.22,-755.97,Flip,2025-11
20251114,CE,25900,2025-11-14 11:34:00.304000+05:30,2025-11-14 11:52:09.280000+05:30,87.4,99.0,75,-870.0,63.14,-933.14,Flip,2025-11
20251114,PE,25900,2025-11-14 10:55:00.520000+05:30,2025-11-14 11:17:44.612000+05:30,125.25,121.8,75,258.75,69.37,189.38,Flip,2025-11
20251114,PE,25900,2025-11-14 15:01:00.468000+05:30,2025-11-14 15:25:59.777000+05:30,120.25,86.4,75,2538.75,67.45,2471.3,EOD,2025-11
20251117,CE,25900,2025-11-17 10:41:00.668000+05:30,2025-11-17 10:47:58.936000+05:30,106.55,120.8,75,-1068.75,66.64,-1135.39,Flip,2025-11
20251117,CE,25900,2025-11-17 14:45:00.226000+05:30,2025-11-17 14:48:09.366000+05:30,122.6,136.55,75,-1046.25,69.48,-1115.73,Flip,2025-11
20251118,PE,26000,2025-11-18 10:57:01.161000+05:30,2025-11-18 11:27:40.408000+05:30,84.8,83.2,75,120.0,62.23,57.77,Flip,2025-11
20251119,CE,25900,2025-11-19 11:11:00.901000+05:30,2025-11-19 11:18:30.533000+05:30,166.45,170.5,75,-303.75,76.95,-380.7,Flip,2025-11
20251119,PE,25900,2025-11-19 10:15:00.191000+05:30,2025-11-19 10:29:04.055000+05:30,105.7,106.3,75,-45.0,66.03,-111.03,Flip,2025-11
20251119,PE,25900,2025-11-19 11:39:00.239000+05:30,2025-11-19 12:58:19.687000+05:30,105.2,86.1,75,1432.5,65.27,1367.23,Flip,2025-11
