date,pair,width,o1,o2,atm_strike,k1_strike,k2_strike,entry_bar,exit_bar,hold_bars,lot_size,entry_ce_k1,entry_ce_k2,entry_pe_k1,entry_pe_k2,exit_ce_k1,exit_ce_k2,exit_pe_k1,exit_pe_k2,entry_box,exit_box,entry_msp,exit_msp,gross_pnl,charges,net_pnl,exit_reason
20260112,"(-3,-2)  w=100",100,-3,-2,83300,83000,83100,2026-01-12 13:02:00+05:30,2026-01-12 13:03:00+05:30,1,20,805.0,750.85,194.75,218.45,852.95,776.95,179.6,201.4,77.85,97.8,-22.15,-2.2,399.0,283.5,115.5,Revert
20260121,"(-3,-2)  w=100",100,-3,-2,82200,81900,82000,2026-01-21 13:39:00+05:30,2026-01-21 13:40:00+05:30,1,20,514.95,435.35,217.5,258.95,468.15,407.05,247.05,283.9,121.05,97.95,21.05,-2.05,462.0,256.34,205.66,Revert
20260122,"(-3,-2)  w=100",100,-3,-2,82700,82400,82500,2026-01-22 13:41:00+05:30,2026-01-22 13:42:00+05:30,1,20,30.25,17.8,419.6,530.0,25.5,17.2,445.7,535.85,122.85,98.45,22.85,-1.55,488.0,237.12,250.88,Revert
20260122,"(-3,-2)  w=100",100,-3,-2,82700,82400,82500,2026-01-22 14:18:00+05:30,2026-01-22 14:19:00+05:30,1,20,12.3,9.4,482.45,551.0,12.6,9.4,450.45,546.25,71.45,99.0,-28.55,-1.0,551.0,238.4,312.6,Revert
20260127,"(-3,-2)  w=100",100,-3,-2,81300,81000,81100,2026-01-27 09:55:00+05:30,2026-01-27 09:58:00+05:30,3,20,1080.65,1027.9,226.9,250.9,1027.0,949.8,244.25,267.2,76.75,100.15,-23.25,0.15,468.0,309.52,158.48,Revert
20260127,"(-3,-2)  w=100",100,-3,-2,81300,81000,81100,2026-01-27 12:21:00+05:30,2026-01-27 12:23:00+05:30,2,20,999.55,902.0,180.4,202.95,1004.25,928.65,178.4,200.1,120.1,97.3,20.1,-2.7,456.0,298.17,157.83,Revert
20260129,"(-3,-2)  w=100",100,-3,-2,82000,81700,81800,2026-01-29 13:57:00+05:30,2026-01-29 13:59:00+05:30,2,20,876.5,803.85,4.8,5.55,910.0,810.0,4.75,5.6,73.4,100.85,-26.6,0.85,549.0,270.36,278.64,Revert
20260201,"(-3,-2)  w=100",100,-3,-2,82400,82100,82200,2026-02-01 12:32:00+05:30,2026-02-01 12:34:00+05:30,2,20,402.7,374.85,1642.45,1734.75,418.2,392.35,1644.2,1719.65,120.15,101.3,20.15,1.3,377.0,386.66,-9.66,Revert
20260201,"(-3,-2)  w=100",100,-3,-2,82400,82100,82200,2026-02-01 12:36:00+05:30,2026-02-01 12:37:00+05:30,1,20,465.85,426.3,1338.85,1423.1,484.0,449.9,1322.45,1389.8,123.8,101.45,23.8,1.45,447.0,362.3,84.7,Revert
20260201,"(-3,-2)  w=100",100,-3,-2,82400,82100,82200,2026-02-01 12:51:00+05:30,2026-02-01 12:57:00+05:30,6,20,449.85,423.05,1141.95,1193.65,515.4,479.05,978.55,1045.0,78.5,102.8,-21.5,2.8,486.0,336.86,149.14,Revert
20260202,"(-3,-2)  w=100",100,-3,-2,81100,80800,80900,2026-02-02 11:37:00+05:30,2026-02-02 11:38:00+05:30,1,20,586.9,524.05,531.15,591.15,593.3,541.3,515.2,562.4,122.85,99.2,22.85,-0.8,473.0,294.6,178.4,Revert
20260203,"(-3,-2)  w=100",100,-3,-2,83900,83600,83700,2026-02-03 09:42:00+05:30,2026-02-03 09:57:00+05:30,15,20,703.7,653.2,792.0,821.05,701.05,646.25,540.6,586.15,79.55,100.35,-20.45,0.35,416.0,318.25,97.75,Revert
